assessment_identifier,access_grade,grade_descriptor
ACCESS,00,uri://ed-fi.org/GradeLevelDescriptors#Kindergarten
ACCESS,01,uri://ed-fi.org/GradeLevelDescriptors#First grade
ACCESS,02,uri://ed-fi.org/GradeLevelDescriptors#Second grade
ACCESS,03,uri://ed-fi.org/GradeLevelDescriptors#Third grade
ACCESS,04,uri://ed-fi.org/GradeLevelDescriptors#Fourth grade
ACCESS,05,uri://ed-fi.org/GradeLevelDescriptors#Fifth grade
ACCESS,06,uri://ed-fi.org/GradeLevelDescriptors#Sixth grade
ACCESS,07,uri://ed-fi.org/GradeLevelDescriptors#Seventh grade
ACCESS,08,uri://ed-fi.org/GradeLevelDescriptors#Eighth grade
ACCESS,09,uri://ed-fi.org/GradeLevelDescriptors#Ninth grade
ACCESS,10,uri://ed-fi.org/GradeLevelDescriptors#Tenth grade
ACCESS,11,uri://ed-fi.org/GradeLevelDescriptors#Eleventh grade
ACCESS,12,uri://ed-fi.org/GradeLevelDescriptors#Twelfth grade
Alternate-ACCESS,00,uri://ed-fi.org/GradeLevelDescriptors#Kindergarten
Alternate-ACCESS,01,uri://ed-fi.org/GradeLevelDescriptors#First grade
Alternate-ACCESS,02,uri://ed-fi.org/GradeLevelDescriptors#Second grade
Alternate-ACCESS,03,uri://ed-fi.org/GradeLevelDescriptors#Third grade
Alternate-ACCESS,04,uri://ed-fi.org/GradeLevelDescriptors#Fourth grade
Alternate-ACCESS,05,uri://ed-fi.org/GradeLevelDescriptors#Fifth grade
Alternate-ACCESS,06,uri://ed-fi.org/GradeLevelDescriptors#Sixth grade
Alternate-ACCESS,07,uri://ed-fi.org/GradeLevelDescriptors#Seventh grade
Alternate-ACCESS,08,uri://ed-fi.org/GradeLevelDescriptors#Eighth grade
Alternate-ACCESS,09,uri://ed-fi.org/GradeLevelDescriptors#Ninth grade
Alternate-ACCESS,10,uri://ed-fi.org/GradeLevelDescriptors#Tenth grade
Alternate-ACCESS,11,uri://ed-fi.org/GradeLevelDescriptors#Eleventh grade
Alternate-ACCESS,12,uri://ed-fi.org/GradeLevelDescriptors#Twelfth grade
