identificationCode,assessmentIdentifier,edfi_descriptor
,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
ACT_ELA,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
ACT_STEM,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
ACT_E,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#English
ACT_R,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
ACT_W,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
ACT_M,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
ACT_S,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Science
ACT_E_CSE,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#English
ACT_M_PHM,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
ACT_E_KL,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#English
ACT_E_PW,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#English
ACT_M_IES,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
ACT_M_M,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
ACT_M_PHM_A,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
ACT_M_PHM_F,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
ACT_M_PHM_G,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
ACT_M_PHM_NQ,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
ACT_M_PHM_SP,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
ACT_R_CS,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
ACT_R_IKI,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
ACT_R_KID,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
ACT_S_EMIER,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Science
ACT_S_ID,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Science
ACT_S_SI,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Science
ACT_W_DS,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
ACT_W_IA,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
ACT_W_LUC,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
ACT_W_O,ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
