identificationCode,assessmentIdentifier,description,namespace,parentIdentificationCode,has_pls
ACT_ELA,ACT,ELA Composite Indicator,uri://act.org/Assessment,,True
ACT_STEM,ACT,STEM Composite Indicator,uri://act.org/Assessment,,True
ACT_E,ACT,English,uri://act.org/Assessment,ACT_ELA,True
ACT_E_CSE,ACT,Conventions of Standard English,uri://act.org/Assessment,ACT_E,False
ACT_E_KL,ACT,Knowledge of Language,uri://act.org/Assessment,ACT_E,False
ACT_E_PW,ACT,Production of Writing,uri://act.org/Assessment,ACT_E,False
ACT_M,ACT,Mathematics,uri://act.org/Assessment,ACT_STEM,True
ACT_M_IES,ACT,Integrating Essential Skills,uri://act.org/Assessment,ACT_M,False
ACT_M_M,ACT,Modeling,uri://act.org/Assessment,ACT_M,False
ACT_M_PHM,ACT,Preparing for High Math,uri://act.org/Assessment,ACT_M,False
ACT_M_PHM_A,ACT,Algebra,uri://act.org/Assessment,ACT_M_PHM,False
ACT_M_PHM_F,ACT,Functions,uri://act.org/Assessment,ACT_M_PHM,False
ACT_M_PHM_G,ACT,Geometry,uri://act.org/Assessment,ACT_M_PHM,False
ACT_M_PHM_NQ,ACT,Numer and Quantity,uri://act.org/Assessment,ACT_M_PHM,False
ACT_M_PHM_SP,ACT,Statistics and Probability,uri://act.org/Assessment,ACT_M_PHM,False
ACT_R,ACT,Reading,uri://act.org/Assessment,ACT_ELA,True
ACT_R_CS,ACT,Craft and Structure,uri://act.org/Assessment,ACT_R,False
ACT_R_IKI,ACT,Integration of Knowledge and Ideas,uri://act.org/Assessment,ACT_R,False
ACT_R_KID,ACT,Key Ideas and Details,uri://act.org/Assessment,ACT_R,False
ACT_S,ACT,Science,uri://act.org/Assessment,ACT_STEM,True
ACT_S_EMIER,ACT,"Evaluation of Models, Inferences, and Experimental Results",uri://act.org/Assessment,ACT_S,False
ACT_S_ID,ACT,Interpretation of Data,uri://act.org/Assessment,ACT_S,False
ACT_S_SI,ACT,Scientific Investigation,uri://act.org/Assessment,ACT_S,False
ACT_W,ACT,Writing,uri://act.org/Assessment,ACT_ELA,False
ACT_W_DS,ACT,Development and Support,uri://act.org/Assessment,ACT_W,False
ACT_W_IA,ACT,Ideas and Analysis,uri://act.org/Assessment,ACT_W,False
ACT_W_LUC,ACT,Lanaguage Use and Conventions,uri://act.org/Assessment,ACT_W,False
ACT_W_O,ACT,Organization,uri://act.org/Assessment,ACT_W,False
