EducationLevel,codeValue,namespace,description,shortDescription
1,Seventh grade,uri://ed-fi.org/GradeLevelDescriptor,Seventh grade
2,Eighth grade,uri://ed-fi.org/GradeLevelDescriptor,Eighth grade
3,Ninth grade,uri://ed-fi.org/GradeLevelDescriptor,Ninth grade
4,Tenth grade,uri://ed-fi.org/GradeLevelDescriptor,Tenth grade
5,Eleventh grade,uri://ed-fi.org/GradeLevelDescriptor,Eleventh grade
6,Twelfth grade,uri://ed-fi.org/GradeLevelDescriptor,Twelfth grade
7,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
8,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
9,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
10,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
11,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
12,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
13,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
14,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
15,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
8th Grade or below,Eighth grade,uri://ed-fi.org/GradeLevelDescriptor,Eighth grade
9th Grade,Ninth grade,uri://ed-fi.org/GradeLevelDescriptor,Ninth grade
10th Grade,Tenth grade,uri://ed-fi.org/GradeLevelDescriptor,Tenth grade
11th Grade,Eleventh grade,uri://ed-fi.org/GradeLevelDescriptor,Eleventh grade
12th Grade,Twelfth grade,uri://ed-fi.org/GradeLevelDescriptor,Twelfth grade
Dual enrollment-11th grade & college,Eleventh grade,uri://ed-fi.org/GradeLevelDescriptor,Eleventh grade
Dual enrollment-12th grade & college,Twelfth grade,uri://ed-fi.org/GradeLevelDescriptor,Twelfth grade
Trade/Proprietary school,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
Community College,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
Postsecondary-4-Year Institutions: Freshman,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
Postsecondary-4-Year Institutions: Sophomore,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
Postsecondary-4-Year Institutions: Junior,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
Postsecondary-4-Year Institutions: Senior,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
Postsecondary-4-Year Institutions: Postgraduate,Postsecondary,uri://ed-fi.org/GradeLevelDescriptor,Postsecondary
