codeValue,description,namespace,shortDescription,resultDataType
Composite Score,Composite Score,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Composite Score,Integer
ACT Aspire Composite Score,ACT Aspire Composite Score,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,ACT Aspire Composite Score,Integer
ACT Projected Composite Score Range Low,ACT Projected Composite Score Range Low,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,ACT Projected Composite Score Range Low,Integer
ACT Projected Composite Score Range High,ACT Projected Composite Score Range High,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,ACT Projected Composite Score Range High,Integer
Scale Score,Scale Score,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Scale Score,Integer
Progress with Text Complexity,Progress with Text Complexity,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Progress with Text Complexity,Level
Progress Towards Career Readiness,Progress Towards Career Readiness,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Progress Towards Career Readiness,Level
National Percentile Rank,National Percentile Rank,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,National Percentile Rank,Percentile
ACT Readiness Benchmark,ACT Readiness Benchmark,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,ACT Readiness Benchmark,Level
Readiness,Readiness,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Readiness,Level
Readiness Level,Readiness Level,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Readiness Level,Level
Projected one-year ACT Aspire Score Range Lower,Projected one-year ACT Aspire Score Range Lower,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Projected one-year ACT Aspire Score Range Lower,Integer
Projected one-year ACT Aspire Score Range Upper,Projected one-year ACT Aspire Score Range Upper,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Projected one-year ACT Aspire Score Range Upper,Integer
Projected two-year ACT Aspire Score Range Lower,Projected two-year ACT Aspire Score Range Lower,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Projected two-year ACT Aspire Score Range Lower,Integer
Projected two-year ACT Aspire Score Range Upper,Projected two-year ACT Aspire Score Range Upper,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Projected two-year ACT Aspire Score Range Upper,Integer
Projected ACT Score Range Lower,Projected ACT Score Range Lower,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Projected ACT Score Range Lower,Integer
Projected ACT Score Range Upper,Projected ACT Score Range Upper,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Projected ACT Score Range Upper,Integer
Growth Percentile,Growth Percentile,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Growth Percentile,Percentile
Growth Category,Growth Category,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Growth Category,Level
Irregularity,Irregularity,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Irregularity,Level
Earned Points,Earned Points,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Earned Points,Integer
Total Points,Total Points,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Total Points,Integer
Percent Correct,Percent Correct,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,Percent Correct,Integer
ACT Readiness Range,ACT Readiness Range,uri://act.org/Assessments/ACTAspire/AssessmentReportingMethodDescriptor,ACT Readiness Range,Level
