assessmentIdentifier,ACT_Aspire_GradeLevel,Grade_CodeValue,Grade_Namespace,Description
ACT Aspire,02,Second grade,uri://ed-fi.org/GradeLevelDescriptor,Second grade
ACT Aspire,03,Third grade,uri://ed-fi.org/GradeLevelDescriptor,Third grade
ACT Aspire,04,Fourth grade,uri://ed-fi.org/GradeLevelDescriptor,Fourth grade
ACT Aspire,05,Fifth grade,uri://ed-fi.org/GradeLevelDescriptor,Fifth grade
ACT Aspire,06,Sixth grade,uri://ed-fi.org/GradeLevelDescriptor,Sixth grade
ACT Aspire,07,Seventh grade,uri://ed-fi.org/GradeLevelDescriptor,Seventh grade
ACT Aspire,08,Eighth grade,uri://ed-fi.org/GradeLevelDescriptor,Eighth grade
ACT Aspire,09,Ninth grade,uri://ed-fi.org/GradeLevelDescriptor,Ninth grade
ACT Aspire,10,Tenth grade,uri://ed-fi.org/GradeLevelDescriptor,Tenth grade
ACT Aspire,11,Eleventh grade,uri://ed-fi.org/GradeLevelDescriptor,Eleventh grade
