identificationCode,assessmentIdentifier,namespace,description,parentIdentificationCode,academicSubjectDescriptor
ELA,ACT Aspire,uri://act.org/Assessments/ACTAspire,ELA,,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
STEM,ACT Aspire,uri://act.org/Assessments/ACTAspire,STEM,,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
English,ACT Aspire,uri://act.org/Assessments/ACTAspire,English,ELA,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
Reading,ACT Aspire,uri://act.org/Assessments/ACTAspire,Reading,ELA,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
Writing,ACT Aspire,uri://act.org/Assessments/ACTAspire,Writing,ELA,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
Mathematics,ACT Aspire,uri://act.org/Assessments/ACTAspire,Mathematics,STEM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Science,ACT Aspire,uri://act.org/Assessments/ACTAspire,Science,STEM,uri://ed-fi.org/AcademicSubjectDescriptor#Science
Production of Writing,ACT Aspire,uri://act.org/Assessments/ACTAspire,Production of Writing,English,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
Knowledge of Language,ACT Aspire,uri://act.org/Assessments/ACTAspire,Knowledge of Language,English,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
Conventions of Standard English,ACT Aspire,uri://act.org/Assessments/ACTAspire,Conventions of Standard English,English,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
Key Ideas and Details,ACT Aspire,uri://act.org/Assessments/ACTAspire,Key Ideas and Details,Reading,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
Craft and Structure,ACT Aspire,uri://act.org/Assessments/ACTAspire,Craft and Structure,Reading,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
Integration of Knowledge and Ideas,ACT Aspire,uri://act.org/Assessments/ACTAspire,Integration of Knowledge and Ideas,Reading,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
Ideas and Analysis,ACT Aspire,uri://act.org/Assessments/ACTAspire,Ideas and Analysis,Writing,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
Development and Support,ACT Aspire,uri://act.org/Assessments/ACTAspire,Development and Support,Writing,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
Organization,ACT Aspire,uri://act.org/Assessments/ACTAspire,Organization,Writing,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
Language Use and Conventions,ACT Aspire,uri://act.org/Assessments/ACTAspire,Language Use and Conventions,Writing,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
Grade Level Progress,ACT Aspire,uri://act.org/Assessments/ACTAspire,Grade Level Progress,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Foundation,ACT Aspire,uri://act.org/Assessments/ACTAspire,Foundation,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Justification and Explanation,ACT Aspire,uri://act.org/Assessments/ACTAspire,Justification and Explanation,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Modeling,ACT Aspire,uri://act.org/Assessments/ACTAspire,Modeling,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Number and Operations - Fractions,ACT Aspire,uri://act.org/Assessments/ACTAspire,Number and Operations - Fractions,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Number and Operations in Base 10,ACT Aspire,uri://act.org/Assessments/ACTAspire,Number and Operations in Base 10,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
The Number System,ACT Aspire,uri://act.org/Assessments/ACTAspire,The Number System,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Number and Quantity,ACT Aspire,uri://act.org/Assessments/ACTAspire,Number and Quantity,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Operations and Algebraic Thinking,ACT Aspire,uri://act.org/Assessments/ACTAspire,Operations and Algebraic Thinking,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Expressions & Equations,ACT Aspire,uri://act.org/Assessments/ACTAspire,Expressions & Equations,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Ratios and Proportional Relationships,ACT Aspire,uri://act.org/Assessments/ACTAspire,Ratios and Proportional Relationships,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Algebra,ACT Aspire,uri://act.org/Assessments/ACTAspire,Algebra,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Functions,ACT Aspire,uri://act.org/Assessments/ACTAspire,Functions,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Geometry,ACT Aspire,uri://act.org/Assessments/ACTAspire,Geometry,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Measurement and Data,ACT Aspire,uri://act.org/Assessments/ACTAspire,Measurement and Data,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Statistics and Probability,ACT Aspire,uri://act.org/Assessments/ACTAspire,Statistics and Probability,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Interpretation of Data,ACT Aspire,uri://act.org/Assessments/ACTAspire,Interpretation of Data,Science,uri://ed-fi.org/AcademicSubjectDescriptor#Science
