identificationCode,reportingMethod
ELA,uri://act.org/AssessmentReportingMethodDescriptor#Readiness
STEM,uri://act.org/AssessmentReportingMethodDescriptor#Readiness
English,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Benchmark
Reading,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Benchmark
Writing,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Benchmark
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Benchmark
Science,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Benchmark
English,uri://act.org/AssessmentReportingMethodDescriptor#Readiness Level
Reading,uri://act.org/AssessmentReportingMethodDescriptor#Readiness Level
Writing,uri://act.org/AssessmentReportingMethodDescriptor#Readiness Level
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#Readiness Level
Science,uri://act.org/AssessmentReportingMethodDescriptor#Readiness Level
English,uri://act.org/AssessmentReportingMethodDescriptor#Growth Category
Reading,uri://act.org/AssessmentReportingMethodDescriptor#Growth Category
Writing,uri://act.org/AssessmentReportingMethodDescriptor#Growth Category
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#Growth Category
Science,uri://act.org/AssessmentReportingMethodDescriptor#Growth Category
English,uri://act.org/AssessmentReportingMethodDescriptor#Irregularity
Reading,uri://act.org/AssessmentReportingMethodDescriptor#Irregularity
Writing,uri://act.org/AssessmentReportingMethodDescriptor#Irregularity
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#Irregularity
Science,uri://act.org/AssessmentReportingMethodDescriptor#Irregularity
Production of Writing,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Knowledge of Language,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Conventions of Standard English,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Key Ideas and Details,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Craft and Structure,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Integration of Knowledge and Ideas,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Ideas and Analysis,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Development and Support,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Organization,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Language Use and Conventions,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Grade Level Progress,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Foundation,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Justification and Explanation,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Modeling,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Number and Operations - Fractions,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Number and Operations in Base 10,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
The Number System,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Number and Quantity,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Operations and Algebraic Thinking,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Expressions & Equations,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Ratios and Proportional Relationships,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Algebra,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Functions,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Geometry,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Measurement and Data,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Statistics and Probability,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Interpretation of Data,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
Scientific Investigation,uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
"Evaluation of Models, Inferences, and Experimental Results",uri://act.org/AssessmentReportingMethodDescriptor#ACT Readiness Range
