identificationCode,reportingMethod,resultDataType
ELA,uri://act.org/AssessmentReportingMethodDescriptor#Scale Score,Integer
STEM,uri://act.org/AssessmentReportingMethodDescriptor#Scale Score,Integer
English,uri://act.org/AssessmentReportingMethodDescriptor#Scale Score,Integer
Reading,uri://act.org/AssessmentReportingMethodDescriptor#Scale Score,Integer
Writing,uri://act.org/AssessmentReportingMethodDescriptor#Scale Score,Integer
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#Scale Score,Integer
Science,uri://act.org/AssessmentReportingMethodDescriptor#Scale Score,Integer
English,uri://act.org/AssessmentReportingMethodDescriptor#National Percentile Rank,Percentile
Reading,uri://act.org/AssessmentReportingMethodDescriptor#National Percentile Rank,Percentile
Writing,uri://act.org/AssessmentReportingMethodDescriptor#National Percentile Rank,Percentile
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#National Percentile Rank,Percentile
Science,uri://act.org/AssessmentReportingMethodDescriptor#National Percentile Rank,Percentile
English,uri://act.org/AssessmentReportingMethodDescriptor#Growth Percentile,Percentile
Reading,uri://act.org/AssessmentReportingMethodDescriptor#Growth Percentile,Percentile
Writing,uri://act.org/AssessmentReportingMethodDescriptor#Growth Percentile,Percentile
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#Growth Percentile,Percentile
Science,uri://act.org/AssessmentReportingMethodDescriptor#Growth Percentile,Percentile
English,uri://act.org/AssessmentReportingMethodDescriptor#Projected ACT Score Range Lower,Integer
Reading,uri://act.org/AssessmentReportingMethodDescriptor#Projected ACT Score Range Lower,Integer
Writing,uri://act.org/AssessmentReportingMethodDescriptor#Projected ACT Score Range Lower,Integer
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#Projected ACT Score Range Lower,Integer
Science,uri://act.org/AssessmentReportingMethodDescriptor#Projected ACT Score Range Lower,Integer
English,uri://act.org/AssessmentReportingMethodDescriptor#Projected ACT Score Range Upper,Integer
Reading,uri://act.org/AssessmentReportingMethodDescriptor#Projected ACT Score Range Upper,Integer
Writing,uri://act.org/AssessmentReportingMethodDescriptor#Projected ACT Score Range Upper,Integer
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#Projected ACT Score Range Upper,Integer
Science,uri://act.org/AssessmentReportingMethodDescriptor#Projected ACT Score Range Upper,Integer
English,uri://act.org/AssessmentReportingMethodDescriptor#Projected one-year ACT Aspire Score Range Lower,Integer
Reading,uri://act.org/AssessmentReportingMethodDescriptor#Projected one-year ACT Aspire Score Range Lower,Integer
Writing,uri://act.org/AssessmentReportingMethodDescriptor#Projected one-year ACT Aspire Score Range Lower,Integer
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#Projected one-year ACT Aspire Score Range Lower,Integer
Science,uri://act.org/AssessmentReportingMethodDescriptor#Projected one-year ACT Aspire Score Range Lower,Integer
English,uri://act.org/AssessmentReportingMethodDescriptor#Projected one-year ACT Aspire Score Range Upper,Integer
Reading,uri://act.org/AssessmentReportingMethodDescriptor#Projected one-year ACT Aspire Score Range Upper,Integer
Writing,uri://act.org/AssessmentReportingMethodDescriptor#Projected one-year ACT Aspire Score Range Upper,Integer
