identificationCode,assessmentIdentifier,description,namespace,parentIdentificationCode,academicSubjectDescriptor,has_pls
ACT_ELA,ACT,ELA Composite Indicator,uri://act.org,,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,True
ACT_STEM,ACT,STEM Composite Indicator,uri://act.org,,uri://ed-fi.org/AcademicSubjectDescriptor#Composite,True
ACT_E,ACT,English,uri://act.org,ACT_ELA,uri://ed-fi.org/AcademicSubjectDescriptor#English,True
ACT_E_CSE,ACT,Conventions of Standard English,uri://act.org,ACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
ACT_E_KL,ACT,Knowledge of Language,uri://act.org,ACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
ACT_E_PW,ACT,Production of Writing,uri://act.org,ACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
ACT_M,ACT,Mathematics,uri://act.org,ACT_STEM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,True
ACT_M_IES,ACT,Integrating Essential Skills,uri://act.org,ACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
ACT_M_M,ACT,Modeling,uri://act.org,ACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
ACT_M_PHM,ACT,Preparing for High Math,uri://act.org,ACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
ACT_M_PHM_A,ACT,Algebra,uri://act.org,ACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
ACT_M_PHM_F,ACT,Functions,uri://act.org,ACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
ACT_M_PHM_G,ACT,Geometry,uri://act.org,ACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
ACT_M_PHM_NQ,ACT,Numer and Quantity,uri://act.org,ACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
ACT_M_PHM_SP,ACT,Statistics and Probability,uri://act.org,ACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
ACT_R,ACT,Reading,uri://act.org,ACT_ELA,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,True
ACT_R_CS,ACT,Craft and Structure,uri://act.org,ACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
ACT_R_IKI,ACT,Integration of Knowledge and Ideas,uri://act.org,ACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
ACT_R_KID,ACT,Key Ideas and Details,uri://act.org,ACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
ACT_S,ACT,Science,uri://act.org,ACT_STEM,uri://ed-fi.org/AcademicSubjectDescriptor#Science,True
ACT_S_EMIER,ACT,"Evaluation of Models, Inferences, and Experimental Results",uri://act.org,ACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
ACT_S_ID,ACT,Interpretation of Data,uri://act.org,ACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
ACT_S_SI,ACT,Scientific Investigation,uri://act.org,ACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
ACT_W,ACT,Writing,uri://act.org,ACT_ELA,uri://ed-fi.org/AcademicSubjectDescriptor#Writing,False
ACT_W_DS,ACT,Development and Support,uri://act.org,ACT_W,uri://ed-fi.org/AcademicSubjectDescriptor#Writing,False
ACT_W_IA,ACT,Ideas and Analysis,uri://act.org,ACT_W,uri://ed-fi.org/AcademicSubjectDescriptor#Writing,False
ACT_W_LUC,ACT,Lanaguage Use and Conventions,uri://act.org,ACT_W,uri://ed-fi.org/AcademicSubjectDescriptor#Writing,False
ACT_W_O,ACT,Organization,uri://act.org,ACT_W,uri://ed-fi.org/AcademicSubjectDescriptor#Writing,False
