studentUniqueId,GradeLevel,SchoolCode,SchoolYear,ExamCode,Score,IrregularityCode1,IrregularityCode2,School_Year,AwardType,AwardYear
99999,5,411292,24,93,2,,,2024,,
99999,6,411293,24,93,2,,,2024,03,24
99993,3,411293,24,7,5,39,40,2024,,
99994,4,411293,24,20,3,,,2024,,
99995,7,411293,24,83,4,,,2024,,
99996,8,411293,24,90,1,,,2024,01,24
99993,3,411293,23,10,,01,02,2023,,
99994,4,411293,24,13,3,,,2024,,
99995,7,411293,22,36,2,12,,2022,,
99996,8,411293,23,25,5,,,2023,02,23
99994,4,411293,24,23,2,,,2024,,
99995,7,411293,23,34,4,,,2023,,
99996,8,411293,22,28,1,,,2022,,
