AP_Exam_Code,AP_Exam_Description,namespace,description,codeValue
7,United States History,uri://ed-fi.org/AcademicSubjectDescriptor,Social Sciences and History,Social Sciences and History
10,African American Studies,uri://ed-fi.org/AcademicSubjectDescriptor,Social Sciences and History,Social Sciences and History
13,Art History,uri://ed-fi.org/AcademicSubjectDescriptor,Fine and Performing Arts,Fine and Performing Arts
14,Drawing,uri://ed-fi.org/AcademicSubjectDescriptor,Fine and Performing Arts,Fine and Performing Arts
15,2-D Art and Design,uri://ed-fi.org/AcademicSubjectDescriptor,Fine and Performing Arts,Fine and Performing Arts
16,3-D Art and Design,uri://ed-fi.org/AcademicSubjectDescriptor,Fine and Performing Arts,Fine and Performing Arts
20,Biology,uri://ed-fi.org/AcademicSubjectDescriptor,Life and Physical Sciences,Life and Physical Sciences
22,Seminar,uri://ed-fi.org/AcademicSubjectDescriptor,Writing,Writing
23,Research,uri://ed-fi.org/AcademicSubjectDescriptor,Writing,Writing
25,Chemistry,uri://ed-fi.org/AcademicSubjectDescriptor,Science,Science
28,Chinese Language and Culture,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature
31,Computer Science A,uri://ed-fi.org/AcademicSubjectDescriptor,Science,Science
32,Computer Science Principles,uri://ed-fi.org/AcademicSubjectDescriptor,Science,Science
33,Computer Science AB,uri://ed-fi.org/AcademicSubjectDescriptor,Science,Science
34,Microeconomics,uri://ed-fi.org/AcademicSubjectDescriptor,Other,Other
35,Macroeconomics,uri://ed-fi.org/AcademicSubjectDescriptor,Other,Other
36,English Language and Composition,uri://ed-fi.org/AcademicSubjectDescriptor,English,English
37,English Literature and Composition,uri://ed-fi.org/AcademicSubjectDescriptor,English,English
40,Environmental Science,uri://ed-fi.org/AcademicSubjectDescriptor,Life and Physical Sciences,Life and Physical Sciences
43,European History,uri://ed-fi.org/AcademicSubjectDescriptor,Social Sciences and History,Social Sciences and History
48,French Language and Culture,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature
51,French Literature,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature
57,United States Government and Politics,uri://ed-fi.org/AcademicSubjectDescriptor,Social Sciences and History,Social Sciences and History
58,Comparative Government and Politics,uri://ed-fi.org/AcademicSubjectDescriptor,Social Sciences and History,Social Sciences and History
59,International English Language,uri://ed-fi.org/AcademicSubjectDescriptor,English Language Arts,English Language Arts
60,Latin,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature
61,Latin Literature,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature
62,Italian Language and Culture,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature
64,Japanese Language and Culture,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature
65,Precalculus,uri://ed-fi.org/AcademicSubjectDescriptor,Mathematics,Mathematics
66,Calculus AB,uri://ed-fi.org/AcademicSubjectDescriptor,Mathematics,Mathematics
68,Calculus BC,uri://ed-fi.org/AcademicSubjectDescriptor,Mathematics,Mathematics
69,Calculus BC: AB Subscore,uri://ed-fi.org/AcademicSubjectDescriptor,Mathematics,Mathematics
75,Music Theory,uri://ed-fi.org/AcademicSubjectDescriptor,Fine and Performing Arts,Fine and Performing Arts
76,Music Aural Subscore,uri://ed-fi.org/AcademicSubjectDescriptor,Fine and Performing Arts,Fine and Performing Arts
77,Music Non-Aural Subscore,uri://ed-fi.org/AcademicSubjectDescriptor,Fine and Performing Arts,Fine and Performing Arts
78,Physics B,uri://ed-fi.org/AcademicSubjectDescriptor,Science,Science
90,Physics C: Mechanics,uri://ed-fi.org/AcademicSubjectDescriptor,Science,Science
82,Physics C: Electricity and Magnetism,uri://ed-fi.org/AcademicSubjectDescriptor,Science,Science
83,Physics 1,uri://ed-fi.org/AcademicSubjectDescriptor,Science,Science
84,Physics 2,uri://ed-fi.org/AcademicSubjectDescriptor,Science,Science
85,Psychology,uri://ed-fi.org/AcademicSubjectDescriptor,Social Sciences and History,Social Sciences and History
87,Spanish Language and Culture,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature
89,Spanish Literature and Culture,uri://ed-fi.org/AcademicSubjectDescriptor,Foreign Language and Literature,Foreign Language and Literature
90,Statistics,uri://ed-fi.org/AcademicSubjectDescriptor,Mathematics,Mathematics
93,World History: Modern,uri://ed-fi.org/AcademicSubjectDescriptor,Social Sciences and History,Social Sciences and History
