from,to
01,Score not yet available - student will be contacted by 8/1
02,Score delayed - will be reported as soon as possible
03,Score delayed - will be reported as soon as possible
04,"Score canceled - student’s choice per options received"
05,Score delayed - will be reported as soon as possible
06,Score delayed - will be reported as soon as possible
07,Pending student response to options provided
08,Score delayed - will be reported as soon as possible
09,Score delayed - will be reported as soon as possible
10,Score delayed - will be reported as soon as possible
11,Score not available
12,Score delayed - will be reported as soon as possible
13,Score delayed - will be reported as soon as possible
14,Score delayed - will be reported as soon as possible
15,Score delayed - will be reported as soon as possible
16,No score available: Makeup exam was requested but not taken
17,Score Canceled: Makeup exam was requested but not taken
18,Score delayed - will be reported as soon as possible
19,Score canceled
20,School reported undertiming of 5 minutes or less,
34,School reported distraction during exam
37,Portion of exam lost - score projected from remainder
38,Media not scorable - score projected from remainder
39,School started exam late
40,School reported undertiming of more than 5 minutes,
42,Portion unscorable - score projected from remainder
44,Score projected from multiple-choice section
51,Score projected from free-response section
57,Score projected from multiple-choice and free-resp. sections
66,School reported overtiming of more than 5 minutes
80,Score delayed - will be reported as soon as possible
81,Score delayed - will be reported as soon as possible
82,Score delayed - will be reported as soon as possible
83,Score delayed - will be reported as soon as possible
84,Score delayed - will be reported as soon as possible
85,Score delayed - will be reported as soon as possible
86,Score delayed - will be reported as soon as possible
87,Score canceled due to missing portion of exam
88,Score delayed - will be reported as soon as possible
89,Score delayed - will be reported as soon as possible
90,Score delayed - will be reported as soon as possible
91,One or more performance tasks not scored
92,Score canceled
93,Score delayed - will be reported as soon as possible
94,Score canceled at student's request
95,Second exam canceled - was not authorized
96,Score not yet available
97,Score delayed - will be reported as soon as possible
98,Score withheld on college report at student's request
