assessmentIdentifier,originalGrade,edfi_descriptor
ASVAB,PK,uri://ed-fi.org/GradeLevelDescriptor#Prekindergarten
ASVAB,K,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
ASVAB,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
ASVAB,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
ASVAB,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
ASVAB,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
ASVAB,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
ASVAB,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
ASVAB,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
ASVAB,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
ASVAB,9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
ASVAB,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
ASVAB,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
ASVAB,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
