identificationCode,assessmentIdentifier,namespace,description
Verbal Expression - VE,ASVAB,uri://officialasvab.com,Verbal Expression
Math Ability - MA,ASVAB,uri://officialasvab.com,Math Ability
Science & Technology - TEC,ASVAB,uri://officialasvab.com,Science & Technology
General Science - GS,ASVAB,uri://officialasvab.com,General Science
Arithmetic Reasoning - RC,ASVAB,uri://officialasvab.com,Arithmetic Reasoning
Word Knowledge - WK,ASVAB,uri://officialasvab.com,Word Knowledge
Paragraph Comprehension - PC,ASVAB,uri://officialasvab.com,Paragraph Comprehension
Math Knowledge - MK,ASVAB,uri://officialasvab.com,Math Knowledge
Electronic Information - EI,ASVAB,uri://officialasvab.com,Electronic Information
Auto & Shop Information - ASI,ASVAB,uri://officialasvab.com,Auto & Shop Information
Mechanical Comprehension - MC,ASVAB,uri://officialasvab.com,Mechanical Comprehension
