codeValue,description,namespace,shortDescription
BERI, Behavioral and Emotional Risk Index,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,BERI
BERI Raw Score,Behavioral and Emotional Risk Index Raw Score,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,BERI Raw Score
BERI Percentile,Behavioral and Emotional Risk Index Percentile,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,BERI Percentile
BERI Risk,Behavioral and Emotional Risk Index Risk Category,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,BERI Risk
ERI,Externalizing Risk Index,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,ERI
ERI Risk,Externalizing Risk Index Risk Category,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,ERI Risk
IRI,Internalizing Risk Index,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,IRI
IRI Risk,Internalizing Risk Index Risk Category,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,IRI Risk
ARI,Adaptive Skills Risk Index,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,ARI
ARI Risk,Adaptive Skills Risk Index Risk Category,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,ARI Risk
PRI,Personal Adjustment Risk Index,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,PRI
PRI Risk,Personal Adjustment Risk Index Risk Category,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,PRI Risk
SRI,Self-Regulation Risk Index,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,SRI
SRI,Self-Regulation Risk Index Risk Category,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,SRI Risk
SRI,Self-Regulation Risk Index Risk Category,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,SRI Risk
Teacher,Teacher of Student,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,Teacher
Respondent,Respondent of Survey about Student,uri://pearsonassessments.com/AssessmentReportingMethodDescriptor,Respondent
