assessment_identifier,namespace,identification_code,description,score_name
bess_3_parent,uri://pearsonassessments.com,Externalizing,Externalizing,ERI
bess_3_parent,uri://pearsonassessments.com,Internalizing,Internalizing,IRI
bess_3_parent,uri://pearsonassessments.com,Adaptive Skills,Adaptive Skills,ARI
bess_3_pk_parent,uri://pearsonassessments.com,Externalizing,Externalizing,ERI
bess_3_pk_parent,uri://pearsonassessments.com,Internalizing,Internalizing,IRI
bess_3_pk_parent,uri://pearsonassessments.com,Adaptive Skills,Adaptive Skills,ARI
bess_3_teacher,uri://pearsonassessments.com,Externalizing,Externalizing,ERI
bess_3_teacher,uri://pearsonassessments.com,Internalizing,Internalizing,IRI
bess_3_teacher,uri://pearsonassessments.com,Adaptive Skills,Adaptive Skills,ARI
bess_3_pk_teacher,uri://pearsonassessments.com,Externalizing,Externalizing,ERI
bess_3_pk_teacher,uri://pearsonassessments.com,Internalizing,Internalizing,IRI
bess_3_pk_teacher,uri://pearsonassessments.com,Adaptive Skills,Adaptive Skills,ARI
bess_3_student,uri://pearsonassessments.com,Self-Regulation,Self-Regulation,SRI
bess_3_student,uri://pearsonassessments.com,Internalizing,Internalizing,IRI
bess_3_student,uri://pearsonassessments.com,Personal Adjustment,Personal Adjustment,PRI
