identificationCode,assessmentIdentifier,namespace,description,parentIdentificationCode
beacon_math_number_and_quantity,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Number and Quantity,
beacon_math_number_and_quantity,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Number and Quantity,
beacon_math_number_and_quantity,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Number and Quantity,
beacon_math_number_and_quantity,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Number and Quantity,
beacon_math_algebra,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Algebra,
beacon_math_algebra,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Algebra,
beacon_math_algebra,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Algebra,
beacon_math_algebra,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Algebra,
beacon_math_measurement_and_data,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Measurement and Data,
beacon_math_measurement_and_data,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Measurement and Data,
beacon_math_measurement_and_data,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Measurement and Data,
beacon_math_measurement_and_data,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Measurement and Data,
beacon_math_geometry,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Geometry,
beacon_math_geometry,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Geometry,
beacon_math_geometry,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Geometry,
beacon_math_geometry,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Geometry,
beacon_ela_reading,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Reading,
beacon_ela_reading,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Reading,
beacon_ela_reading,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Reading,
beacon_ela_reading,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Reading,
beacon_ela_key_ideas,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Key Ideas and Details,beacon_ela_reading
beacon_ela_key_ideas,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Key Ideas and Details,beacon_ela_reading
beacon_ela_key_ideas,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Key Ideas and Details,beacon_ela_reading
beacon_ela_key_ideas,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Key Ideas and Details,beacon_ela_reading
beacon_ela_craft_structure,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Craft Structure/Integration of Knowledge and Ideas,beacon_ela_reading
