codeValue,description,namespace,shortDescription
possible values,description,uri://instructure.com/AcademicSubjectDescriptor,description
alg1,Algebra 1,uri://instructure.com/AcademicSubjectDescriptor,Algebra 1
algf,Foundations of Alg1,uri://instructure.com/AcademicSubjectDescriptor,Foundations of Alg1
algi,Intermediate Alg1,uri://instructure.com/AcademicSubjectDescriptor,Intermediate Alg1
biol,Biology,uri://instructure.com/AcademicSubjectDescriptor,Biology
biof,Foundations of Biology,uri://instructure.com/AcademicSubjectDescriptor,Foundations of Biology
eng1,English 1,uri://instructure.com/AcademicSubjectDescriptor,English 1
eng2,English 2,uri://instructure.com/AcademicSubjectDescriptor,English 2
eng3,English3,uri://instructure.com/AcademicSubjectDescriptor,English3
malg,Algebra 1 - Middle School,uri://instructure.com/AcademicSubjectDescriptor,Algebra 1 - Middle School
matk,Kindergarten Math,uri://instructure.com/AcademicSubjectDescriptor,Kindergarten Math
mat1,1st Grade Math,uri://instructure.com/AcademicSubjectDescriptor,1st Grade Math
mat2,2nd Grade Math,uri://instructure.com/AcademicSubjectDescriptor,2nd Grade Math
mat3,3rd Grade Math,uri://instructure.com/AcademicSubjectDescriptor,3rd Grade Math
mat4,4th Grade Math,uri://instructure.com/AcademicSubjectDescriptor,4th Grade Math
mat5,5th Grade Math,uri://instructure.com/AcademicSubjectDescriptor,5th Grade Math
mat6,6th Grade Math,uri://instructure.com/AcademicSubjectDescriptor,6th Grade Math
mat7,7th Grade Math,uri://instructure.com/AcademicSubjectDescriptor,7th Grade Math
mat8,8th Grade Math,uri://instructure.com/AcademicSubjectDescriptor,8th Grade Math
reak,Kindergarten ELA,uri://instructure.com/AcademicSubjectDescriptor,Kindergarten ELA
rea1,1st Grade ELA,uri://instructure.com/AcademicSubjectDescriptor,1st Grade ELA
rea2,2nd Grade ELA,uri://instructure.com/AcademicSubjectDescriptor,2nd Grade ELA
rea3,3rd Grade ELA,uri://instructure.com/AcademicSubjectDescriptor,3rd Grade ELA
rea4,4th Grade ELA,uri://instructure.com/AcademicSubjectDescriptor,4th Grade ELA
rea5,5th Grade ELA,uri://instructure.com/AcademicSubjectDescriptor,5th Grade ELA
rea6,6th Grade ELA,uri://instructure.com/AcademicSubjectDescriptor,6th Grade ELA
rea7,7th Grade ELA,uri://instructure.com/AcademicSubjectDescriptor,7th Grade ELA
rea8,8th Grade ELA,uri://instructure.com/AcademicSubjectDescriptor,8th Grade ELA
scik,Kindergarten Science,uri://instructure.com/AcademicSubjectDescriptor,Kindergarten Science
sci1,1st Grade Science,uri://instructure.com/AcademicSubjectDescriptor,1st Grade Science
sci2,2nd Grade Science,uri://instructure.com/AcademicSubjectDescriptor,2nd Grade Science
sci3,3rd Grade Science,uri://instructure.com/AcademicSubjectDescriptor,3rd Grade Science
sci4,4th Grade Science,uri://instructure.com/AcademicSubjectDescriptor,4th Grade Science
sci5,5th Grade Science,uri://instructure.com/AcademicSubjectDescriptor,5th Grade Science
sci6,6th Grade Science,uri://instructure.com/AcademicSubjectDescriptor,6th Grade Science
sci7,7th Grade Science,uri://instructure.com/AcademicSubjectDescriptor,7th Grade Science
sci8,8th Grade Science,uri://instructure.com/AcademicSubjectDescriptor,8th Grade Science
sock,Kindergarten Soc Studies,uri://instructure.com/AcademicSubjectDescriptor,Kindergarten Soc Studies
soc1,1st Grade Soc Studies,uri://instructure.com/AcademicSubjectDescriptor,1st Grade Soc Studies
soc2,2nd Grade Soc Studies,uri://instructure.com/AcademicSubjectDescriptor,2nd Grade Soc Studies
soc3,3rd Grade Soc Studies,uri://instructure.com/AcademicSubjectDescriptor,3rd Grade Soc Studies
soc4,4th Grade Soc Studies,uri://instructure.com/AcademicSubjectDescriptor,4th Grade Soc Studies
soc5,5th Grade Soc Studies,uri://instructure.com/AcademicSubjectDescriptor,5th Grade Soc Studies
soc6,6th Grade Soc Studies,uri://instructure.com/AcademicSubjectDescriptor,6th Grade Soc Studies
soc7,7th Grade Soc Studies,uri://instructure.com/AcademicSubjectDescriptor,7th Grade Soc Studies
soc8,8th Grade Soc Studies,uri://instructure.com/AcademicSubjectDescriptor,8th Grade Soc Studies
ushi,US History,uri://instructure.com/AcademicSubjectDescriptor,US History
