assessmentIdentifier,gradeLevelDescriptor
caa_ela_grade_10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
caa_ela_grade_11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
caa_ela_grade_3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
caa_ela_grade_4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
caa_ela_grade_5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
caa_ela_grade_6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
caa_ela_grade_7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
caa_ela_grade_8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
caa_ela_grade_9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
caa_math_grade_10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
caa_math_grade_11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
caa_math_grade_3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
caa_math_grade_4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
caa_math_grade_5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
caa_math_grade_6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
caa_math_grade_7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
caa_math_grade_8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
caa_math_grade_9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
caa_science_grade_5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
caa_science_grade_8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
caa_science_grade_hs,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
caa_science_grade_hs,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
caa_science_grade_hs,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
caa_science_grade_hs,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
cast_summative_grade_5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
cast_summative_grade_8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
cast_summative_grade_hs,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
cast_summative_grade_hs,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
cast_summative_grade_hs,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
cast_summative_grade_hs,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
ela_summative_grade_10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
ela_summative_grade_11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
ela_summative_grade_3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
ela_summative_grade_4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
ela_summative_grade_5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
ela_summative_grade_6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
ela_summative_grade_7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
ela_summative_grade_8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
ela_summative_grade_9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
grade_10_ela_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
grade_10_math_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
grade_11_12_elpac_ia_listening_i,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
grade_11_12_elpac_ia_listening_i,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
grade_11_12_elpac_ia_listening_ii,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
grade_11_12_elpac_ia_listening_ii,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
grade_11_12_elpac_ia_reading_i,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
grade_11_12_elpac_ia_reading_i,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
grade_11_12_elpac_ia_reading_ii,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
grade_11_12_elpac_ia_reading_ii,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
grade_11_12_elpac_ia_speaking_i,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
grade_11_12_elpac_ia_speaking_i,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
grade_11_12_elpac_ia_speaking_ii,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
grade_11_12_elpac_ia_speaking_ii,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
grade_11_12_elpac_ia_writing_i,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
grade_11_12_elpac_ia_writing_i,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
grade_11_12_elpac_ia_writing_ii,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
grade_11_12_elpac_ia_writing_ii,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
grade_11_ela_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
grade_11_math_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
grade_1_elpac_ia_listening_i,uri://ed-fi.org/GradeLevelDescriptor#First grade
grade_1_elpac_ia_listening_ii,uri://ed-fi.org/GradeLevelDescriptor#First grade
grade_1_elpac_ia_reading_i,uri://ed-fi.org/GradeLevelDescriptor#First grade
grade_1_elpac_ia_reading_ii,uri://ed-fi.org/GradeLevelDescriptor#First grade
grade_1_elpac_ia_speaking_i,uri://ed-fi.org/GradeLevelDescriptor#First grade
grade_1_elpac_ia_speaking_ii,uri://ed-fi.org/GradeLevelDescriptor#First grade
grade_1_elpac_ia_writing_i,uri://ed-fi.org/GradeLevelDescriptor#First grade
grade_1_elpac_ia_writing_ii,uri://ed-fi.org/GradeLevelDescriptor#First grade
grade_2_elpac_ia_listening_i,uri://ed-fi.org/GradeLevelDescriptor#Second grade
grade_2_elpac_ia_listening_ii,uri://ed-fi.org/GradeLevelDescriptor#Second grade
grade_2_elpac_ia_reading_i,uri://ed-fi.org/GradeLevelDescriptor#Second grade
grade_2_elpac_ia_reading_ii,uri://ed-fi.org/GradeLevelDescriptor#Second grade
grade_2_elpac_ia_speaking_i,uri://ed-fi.org/GradeLevelDescriptor#Second grade
grade_2_elpac_ia_speaking_ii,uri://ed-fi.org/GradeLevelDescriptor#Second grade
grade_2_elpac_ia_writing_i,uri://ed-fi.org/GradeLevelDescriptor#Second grade
grade_2_elpac_ia_writing_ii,uri://ed-fi.org/GradeLevelDescriptor#Second grade
grade_3_cast_ia_i,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_cast_ia_ii,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_brief_writes_iab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_editing_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_language_and_vocabulary_use_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_listen/interpret_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_make_and_support_inferences_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_make_and_support_inferences_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_performance_task_beetles_iab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_read_informational_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_read_literary_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_research_analyze_information_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_research_iab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_research_interpret_and_integrate_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_research_use_evidence_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_revision_iab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_text_analysis_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_text_analysis_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_write_and_revise_informational_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_write_and_revise_narratives_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_ela_write_and_revise_opinion_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_elpac_ia_listening_i,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_elpac_ia_listening_ii,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_elpac_ia_reading_i,uri://ed-fi.org/GradeLevelDescriptor#Third grade
grade_3_elpac_ia_reading_ii,uri://ed-fi.org/GradeLevelDescriptor#Third grade
