codeValue,description,namespace,shortDescription
Beginning to Develop,Beginning to Develop,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Beginning to Develop
Below Standard,Below Standard,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Below Standard
Limited Understanding,Limited Understanding,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Limited Understanding
Novice English Learner,Novice English Learner,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Novice English Learner
Standard Not Met,Standard Not Met,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Standard Not Met
Foundational Understanding,Foundational Understanding,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Foundational Understanding
Intermediate English Learner,Intermediate English Learner,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Intermediate English Learner
Near Standard,Near Standard,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Near Standard
Somewhat Developed,Somewhat Developed,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Somewhat Developed
Somewhat to Moderately Developed,Somewhat to Moderately Developed,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Somewhat to Moderately Developed
Standard Nearly Met,Standard Nearly Met,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Standard Nearly Met
Above Standard,Above Standard,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Above Standard
Fluent English Proficient,Fluent English Proficient,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Fluent English Proficient
Moderately Developed,Moderately Developed,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Moderately Developed
Standard Met,Standard Met,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Standard Met
Understanding,Understanding,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Understanding
Well Developed,Well Developed,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Well Developed
Standard Exceeded,Standard Exceeded,uri://www.caaspp-elpac.org/PerformanceLevelDescriptor,Standard Exceeded
