originalGrade,gradeLevelDescriptor
01,uri://calpads.ca.gov/GradeLevelDescriptor#01
02,uri://calpads.ca.gov/GradeLevelDescriptor#02
03,uri://calpads.ca.gov/GradeLevelDescriptor#03
04,uri://calpads.ca.gov/GradeLevelDescriptor#04
05,uri://calpads.ca.gov/GradeLevelDescriptor#05
06,uri://calpads.ca.gov/GradeLevelDescriptor#06
07,uri://calpads.ca.gov/GradeLevelDescriptor#07
08,uri://calpads.ca.gov/GradeLevelDescriptor#08
09,uri://calpads.ca.gov/GradeLevelDescriptor#09
10,uri://calpads.ca.gov/GradeLevelDescriptor#10
11,uri://calpads.ca.gov/GradeLevelDescriptor#11
12,uri://calpads.ca.gov/GradeLevelDescriptor#12
KG,uri://calpads.ca.gov/GradeLevelDescriptor#KN
