Subject,AssessmentSubType,ScaleScoreAchievementLevel,performanceLevelDescriptor
ALTELPAC,SUM,1,Novice English Learner
ALTELPAC,SUM,2,Intermediate English Learner
ALTELPAC,SUM,3,Fluent English Proficient
CAAELA,SUM,1,Limited Understanding
CAAELA,SUM,2,Foundational Understanding
CAAELA,SUM,3,Understanding
CAAMATH,SUM,1,Limited Understanding
CAAMATH,SUM,2,Foundational Understanding
CAAMATH,SUM,3,Understanding
CAASCI,SUM,1,Limited Understanding
CAASCI,SUM,2,Foundational Understanding
CAASCI,SUM,3,Understanding
CAST,IAB,1,Beginning to Develop
CAST,IAB,2,Somewhat to Moderately Developed
CAST,IAB,3,Well Developed
CAST,SUM,1,Standard Not Met
CAST,SUM,2,Standard Nearly Met
CAST,SUM,3,Standard Met
CAST,SUM,4,Standard Exceeded
ELPAC,IAB,1,Beginning to Develop
ELPAC,IAB,2,Somewhat to Moderately Developed
ELPAC,IAB,3,Well Developed
ELPAC,SUM,1,Beginning to Develop
ELPAC,SUM,2,Somewhat Developed
ELPAC,SUM,3,Moderately Developed
ELPAC,SUM,4,Well Developed
ELA,IAB,1,Below Standard
ELA,IAB,2,Near Standard
ELA,IAB,3,Above Standard
ELA,ICA,1,Standard Not Met
ELA,ICA,2,Standard Nearly Met
ELA,ICA,3,Standard Met
ELA,ICA,4,Standard Exceeded
ELA,SUM,1,Standard Not Met
ELA,SUM,2,Standard Nearly Met
ELA,SUM,3,Standard Met
ELA,SUM,4,Standard Exceeded
Math,IAB,1,Below Standard
Math,IAB,2,Near Standard
Math,IAB,3,Above Standard
Math,ICA,1,Standard Not Met
Math,ICA,2,Standard Nearly Met
Math,ICA,3,Standard Met
Math,ICA,4,Standard Exceeded
Math,SUM,1,Standard Not Met
Math,SUM,2,Standard Nearly Met
Math,SUM,3,Standard Met
Math,SUM,4,Standard Exceeded
