assessmentIdentifier,edfi_descriptor
circle_rln,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
circle_rapid_vocabulary,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
circle_pa,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
circle_pa_opt,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
circle_math,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
circle_math_opt,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
circle_letter_sound,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
circle_story_retell_comp,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
circle_book_print,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
circle_science,uri://ed-fi.org/AcademicSubjectDescriptor#Science
circle_social_studies,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
circle_social_emotional,uri://ed-fi.org/AcademicSubjectDescriptor#Other
circle_early_writing,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
circle_approaches_to_learning_exp,uri://ed-fi.org/AcademicSubjectDescriptor#Other
circle_physical_dev_health,"uri://ed-fi.org/AcademicSubjectDescriptor#Physical, Health, and Safety Education"
circle_language_communication,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
circle_motivation_to_read,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
circle_cpm_admin_mode,uri://ed-fi.org/AcademicSubjectDescriptor#Other
