assessmentIdentifier,assessmentTitle,assessmentFamily,namespace
circle_rln,Rapid Letter Naming,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_rapid_vocabulary,Rapid Vocabulary,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_pa,Phonological Awareness,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_pa_opt,Optional Phonological Awareness,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_math,Math,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_math_opt,Optional Math,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_letter_sound,Letter-Sound Correspondence,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_story_retell_comp,Story Retell and Comprehension,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_book_print,Book and Print Knowledge,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_science,Science,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_social_studies,Social Studies,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_social_emotional,Social Emotional Behaviors,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_early_writing,Early Writing Skills Early Writing Skills,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_approaches_to_learning_exp,Approaches to Learning Expanded,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_physical_dev_health,Physical Development and Health,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_language_communication,Speech Production and Sentence Skills,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_motivation_to_read,Motivation to Read,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
circle_cpm_admin_mode,Administration Mode,"CIRCLE Progress Monitoring",uri://www.cliengage.org/circle/assessment
