assessmentIdentifier,edfi_descriptor
circle_rln,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_rln,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_rln,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_rapid_vocabulary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_rapid_vocabulary,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_rapid_vocabulary,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_pa,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_pa,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_pa,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_pa_opt,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_pa_opt,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_pa_opt,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_math,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_math,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_math,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_math_opt,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_math_opt,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_math_opt,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_letter_sound,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_letter_sound,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_letter_sound,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_story_retell_comp,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_story_retell_comp,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_story_retell_comp,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_book_print,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_book_print,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_book_print,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_science,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_science,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_science,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_social_studies,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_social_studies,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_social_studies,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_social_emotional,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_social_emotional,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_social_emotional,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_early_writing,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_early_writing,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_early_writing,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_approaches_to_learning_exp,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_approaches_to_learning_exp,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_approaches_to_learning_exp,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_physical_dev_health,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_physical_dev_health,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_physical_dev_health,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_language_communication,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_language_communication,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_language_communication,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_motivation_to_read,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_motivation_to_read,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_motivation_to_read,uri://ed-fi.org/GradeLevelDescriptor#Early Education
circle_cpm_admin_mode,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
circle_cpm_admin_mode,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
circle_cpm_admin_mode,uri://ed-fi.org/GradeLevelDescriptor#Early Education
