,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RLN_v1 Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA_v2 Results,,,Syllabication_v2 Results,,,,,,,,,,Onset-Rime_v2 Results,,,,,,,,Alliteration_v2 Results,,,,,,,,,,Rhyming_I_v2 Results,,,,,,,,,,,,Letter_Sound_v1 Results,,,,,,,,,,,,,,Story_Retell_Comp_v1 Results,,,,,,,,,Early_Writing_v1 Results,,,,,,,,,,,,,RLNA_spa_v1 Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA_spa_v2 Results,,,Syllabication_spa_v2 Results,,,,,,,,,,Alliteration_spa_v2 Results,,,,,,,,,,Rhyming_I_spa_v2 Results,,,,,,,,,,,,Letter_Sound_spa_v1 Results,,,,,,,,,,,,,,Story_Retell_Comp_spa_v1 Results,,,,,,,,,Early_Writing_spa_v1 Results,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave,School_Year,District_Number,Community_Name,Community_Engage_ID,School_Number,School_Name,School_Engage_ID,School_Type,School_Status,Teacher_Number,Homeroom_Teacher,Teacher_Engage_ID,Teacher_State_ID,Teacher_PrimaryEmail,Class_Internal_ID,Class_Name,Class_Engage_ID,Class_Status,Day_Type,Class_Level,Local_Student ID,Student_First_Name,Student_Middle_Name,Student_Last_Name,Student_DOB,Student_Status,Student_Engage_ID,Student_State_ID,Assessment_Language,Student_Gender,Student_Race,Student_Ethnicity,Student_Grade_Level,Collaboration_Id,Special_Ed,Special_Ed_Former,English_Language_Learner,Econ_Disadvantaged,Dyslexia,Enrollment Date,Withdrawal Date,RLN_v1,RLN_v1_Date,CP_RLN_v1,RLN_v1_RLNA_v1_1,RLN_v1_RLNA_v1_2,RLN_v1_RLNA_v1_3,RLN_v1_RLNA_v1_4,RLN_v1_RLNA_v1_5,RLN_v1_RLNA_v1_6,RLN_v1_RLNA_v1_7,RLN_v1_RLNA_v1_8,RLN_v1_RLNA_v1_9,RLN_v1_RLNA_v1_10,RLN_v1_RLNA_v1_11,RLN_v1_RLNA_v1_12,RLN_v1_RLNA_v1_13,RLN_v1_RLNA_v1_14,RLN_v1_RLNA_v1_15,RLN_v1_RLNA_v1_16,RLN_v1_RLNA_v1_17,RLN_v1_RLNA_v1_18,RLN_v1_RLNA_v1_19,RLN_v1_RLNA_v1_20,RLN_v1_RLNA_v1_21,RLN_v1_RLNA_v1_22,RLN_v1_RLNA_v1_23,RLN_v1_RLNA_v1_24,RLN_v1_RLNA_v1_25,RLN_v1_RLNA_v1_26,RLN_v1_RLNA_v1_27,RLN_v1_RLNA_v1_28,RLN_v1_RLNA_v1_29,RLN_v1_RLNA_v1_30,RLN_v1_RLNA_v1_31,RLN_v1_RLNA_v1_32,RLN_v1_RLNA_v1_33,RLN_v1_RLNA_v1_34,RLN_v1_RLNA_v1_35,RLN_v1_RLNA_v1_36,RLN_v1_RLNA_v1_37,RLN_v1_RLNA_v1_38,RLN_v1_RLNA_v1_39,RLN_v1_RLNA_v1_40,RLN_v1_RLNA_v1_41,RLN_v1_RLNA_v1_42,RLN_v1_RLNA_v1_43,RLN_v1_RLNA_v1_44,RLN_v1_RLNA_v1_45,RLN_v1_RLNA_v1_46,RLN_v1_RLNA_v1_47,RLN_v1_RLNA_v1_48,RLN_v1_RLNA_v1_49,RLN_v1_RLNA_v1_50,RLN_v1_RLNA_v1_51,RLN_v1_RLNA_v1_52,PA_v2,PA_v2_Date,CP_PA_v2,PA_v2_Syllabication_v2,PA_v2_Syllabication_v2_Date,CP_PA_v2_Syllabication_v2,PA_v2_Syllabication_v1_1,PA_v2_Syllabication_v1_2,PA_v2_Syllabication_v1_3,PA_v2_Syllabication_v1_4,PA_v2_Syllabication_v1_5,PA_v2_Syllabication_v1_6,PA_v2_Syllabication_v1_7,PA_v2_Onset-Rime_v2,PA_v2_Onset-Rime_v2_Date,CP_PA_v2_Onset-Rime_v2,PA_v2_Onset_v1_1,PA_v2_Onset_v1_2,PA_v2_Onset_v1_3,PA_v2_Onset_v1_4,PA_v2_Onset_v1_5,PA_v2_Alliteration_v2,PA_v2_Alliteration_v2_Date,CP_PA_v2_Alliteration_v2,PA_v2_Alliteration_v1_1,PA_v2_Alliteration_v1_2,PA_v2_Alliteration_v1_3,PA_v2_Alliteration_v1_4,PA_v2_Alliteration_v1_5,PA_v2_Alliteration_v1_6,PA_v2_Alliteration_v1_7,PA_v2_Rhyming_I_v2,PA_v2_Rhyming_I_v2_Date,CP_PA_v2_Rhyming_I_v2,PA_v2_Rhyming I_v1_1,PA_v2_Rhyming I_v1_2,PA_v2_Rhyming I_v1_3,PA_v2_Rhyming I_v1_4,PA_v2_Rhyming I_v1_5,PA_v2_Rhyming I_v1_6,PA_v2_Rhyming I_v1_7,PA_v2_Rhyming I_v1_8,PA_v2_Rhyming I_v1_9,Letter_Sound_v1,Letter_Sound_v1_Date,Letter_Sound_v1_LSCT_v1_1,Letter_Sound_v1_LSCT_v1_2,Letter_Sound_v1_LSCT_v1_3,Letter_Sound_v1_LSCT_v1_4,Letter_Sound_v1_LSCT_v1_5,Letter_Sound_v1_LSCT_v1_6,Letter_Sound_v1_LSCT_v1_7,Letter_Sound_v1_LSCT_v1_8,Letter_Sound_v1_LSCT_v1_9,Letter_Sound_v1_LSCT_v1_10,Letter_Sound_v1_LSCT_v1_11,Letter_Sound_v1_LSCT_v1_12,Story_Retell_Comp_v1,Story_Retell_Comp_v1_Date,CP_Story_Retell_Comp_v1,Story_Retell_Comp_v1_story retell 1,Story_Retell_Comp_v1_story retell 2,Story_Retell_Comp_v1_story retell 3,Story_Retell_Comp_v1_story retell 4,Story_Retell_Comp_v1_story retell 5,Story_Retell_Comp_v1_story retell 6,Early_Writing_v1,Early_Writing_v1_Date,CP_Early_Writing_v1,Early_Writing_v1_EWC_Eng_V1_1,Early_Writing_v1_EWC_Eng_V1_2,Early_Writing_v1_EWC_Eng_V1_3,Early_Writing_v1_EWC_Eng_V1_4,Early_Writing_v1_EWC_Eng_V1_5,Early_Writing_v1_EWC_Eng_V1_6,Early_Writing_v1_EWC_Eng_V1_7,Early_Writing_v1_EWC_Eng_V1_8,Early_Writing_v1_EWC_Eng_V1_9,Early_Writing_v1_EWC_Eng_V1_10,RLNA_spa_v1,RLNA_spa_v1_Date,CP_RLNA_spa_v1,RLNA_spa_v1_RLNA_spa_v1_1_L,RLNA_spa_v1_RLNA_spa_v1_2_p,RLNA_spa_v1_RLNA_spa_v1_3_R,RLNA_spa_v1_RLNA_spa_v1_4_m,RLNA_spa_v1_RLNA_spa_v1_5_S,RLNA_spa_v1_RLNA_spa_v1_6_W,RLNA_spa_v1_RLNA_spa_v1_7_x,RLNA_spa_v1_RLNA_spa_v1_8_B,RLNA_spa_v1_RLNA_spa_v1_9_Z,RLNA_spa_v1_RLNA_spa_v1_10_v,RLNA_spa_v1_RLNA_spa_v1_11_K,RLNA_spa_v1_RLNA_spa_v1_12_f,RLNA_spa_v1_RLNA_spa_v1_13_A,RLNA_spa_v1_RLNA_spa_v1_14_w,RLNA_spa_v1_RLNA_spa_v1_15_g,RLNA_spa_v1_RLNA_spa_v1_16_T,RLNA_spa_v1_RLNA_spa_v1_17_e,RLNA_spa_v1_RLNA_spa_v1_18_D,RLNA_spa_v1_RLNA_spa_v1_19_u,RLNA_spa_v1_RLNA_spa_v1_20_Y,RLNA_spa_v1_RLNA_spa_v1_21_h,RLNA_spa_v1_RLNA_spa_v1_22_Q,RLNA_spa_v1_RLNA_spa_v1_23_k,RLNA_spa_v1_RLNA_spa_v1_24_o,RLNA_spa_v1_RLNA_spa_v1_25_U,RLNA_spa_v1_RLNA_spa_v1_26_d,RLNA_spa_v1_RLNA_spa_v1_27_P,RLNA_spa_v1_RLNA_spa_v1_28_y,RLNA_spa_v1_RLNA_spa_v1_29_O,RLNA_spa_v1_RLNA_spa_v1_30_C,RLNA_spa_v1_RLNA_spa_v1_31_z,RLNA_spa_v1_RLNA_spa_v1_32_N,RLNA_spa_v1_RLNA_spa_v1_33_b,RLNA_spa_v1_RLNA_spa_v1_34_X,RLNA_spa_v1_RLNA_spa_v1_35_i,RLNA_spa_v1_RLNA_spa_v1_36_J,RLNA_spa_v1_RLNA_spa_v1_37_c,RLNA_spa_v1_RLNA_spa_v1_38_M,RLNA_spa_v1_RLNA_spa_v1_39_n,RLNA_spa_v1_RLNA_spa_v1_40_H,RLNA_spa_v1_RLNA_spa_v1_41_r,RLNA_spa_v1_RLNA_spa_v1_42_Up_egne,RLNA_spa_v1_RLNA_spa_v1_43_t,RLNA_spa_v1_RLNA_spa_v1_44_I,RLNA_spa_v1_RLNA_spa_v1_45_a,RLNA_spa_v1_RLNA_spa_v1_46_G,RLNA_spa_v1_RLNA_spa_v1_47_l,RLNA_spa_v1_RLNA_spa_v1_48_F,RLNA_spa_v1_RLNA_spa_v1_49_q,RLNA_spa_v1_RLNA_spa_v1_50_V,RLNA_spa_v1_RLNA_spa_v1_51_Low_egne,RLNA_spa_v1_RLNA_spa_v1_52_E,RLNA_spa_v1_RLNA_spa_v1_53_s,RLNA_spa_v1_RLNA_spa_v1_54_j,PA_spa_v2,PA_spa_v2_Date,CP_PA_spa_v2,PA_spa_v2_Syllabication_spa_v2,PA_spa_v2_Syllabication_spa_v2_Date,CP_PA_spa_v2_Syllabication_spa_v2,PA_spa_v2_Syllabication_spa_v1_1,PA_spa_v2_Syllabication_spa_v1_2,PA_spa_v2_Syllabication_spa_v1_3,PA_spa_v2_Syllabication_spa_v1_4,PA_spa_v2_Syllabication_spa_v1_5,PA_spa_v2_Syllabication_spa_v1_6,PA_spa_v2_Syllabication_spa_v1_7,PA_spa_v2_Alliteration_spa_v2,PA_spa_v2_Alliteration_spa_v2_Date,CP_PA_spa_v2_Alliteration_spa_v2,PA_spa_v2_Alliteration_spa_v1_1,PA_spa_v2_Alliteration_spa_v1_2,PA_spa_v2_Alliteration_spa_v1_3,PA_spa_v2_Alliteration_spa_v1_4,PA_spa_v2_Alliteration_spa_v1_5,PA_spa_v2_Alliteration_spa_v1_6,PA_spa_v2_Alliteration_spa_v1_7,PA_spa_v2_Rhyming_I_spa_v2,PA_spa_v2_Rhyming_I_spa_v2_Date,CP_PA_spa_v2_Rhyming_I_spa_v2,PA_spa_v2_Rhyming I_spa_v1_1,PA_spa_v2_Rhyming I_spa_v1_2,PA_spa_v2_Rhyming I_spa_v1_3,PA_spa_v2_Rhyming I_spa_v1_4,PA_spa_v2_Rhyming I_spa_v1_5,PA_spa_v2_Rhyming I_spa_v1_6,PA_spa_v2_Rhyming I_spa_v1_7,PA_spa_v2_Rhyming I_spa_v1_8,PA_spa_v2_Rhyming I_spa_v1_9,Letter_Sound_spa_v1,Letter_Sound_spa_v1_Date,Letter_Sound_spa_v1_LSCT_spa_v1_1_Z,Letter_Sound_spa_v1_LSCT_spa_v1_2_M,Letter_Sound_spa_v1_LSCT_spa_v1_3_S,Letter_Sound_spa_v1_LSCT_spa_v1_4_V,Letter_Sound_spa_v1_LSCT_spa_v1_5_F,Letter_Sound_spa_v1_LSCT_spa_v1_6_E,Letter_Sound_spa_v1_LSCT_spa_v1_7_B,Letter_Sound_spa_v1_LSCT_spa_v1_8_U,Letter_Sound_spa_v1_LSCT_spa_v1_9_X,Letter_Sound_spa_v1_LSCT_spa_v1_10_J,Letter_Sound_spa_v1_LSCT_spa_v1_11_P,Letter_Sound_spa_v1_LSCT_spa_v1_12_T,Story_Retell_Comp_spa_v1,Story_Retell_Comp_spa_v1_Date,CP_Story_Retell_Comp_spa_v1,Story_Retell_Comp_spa_v1_SRCA_spa_v1_Score_Item_1,Story_Retell_Comp_spa_v1_SRCA_spa_v1_Score_Item_2,Story_Retell_Comp_spa_v1_SRCA_spa_v1_Score_Item_3,Story_Retell_Comp_spa_v1_SRCA_spa_v1_Score_Item_4,Story_Retell_Comp_spa_v1_SRCA_spa_v1_Score_Item_5,Story_Retell_Comp_spa_v1_SRCA_spa_v1_Score_Item_6,Early_Writing_spa_v1,Early_Writing_spa_v1_Date,CP_Early_Writing_spa_v1,Early_Writing_spa_v1_EWC_Spa_V1_1,Early_Writing_spa_v1_EWC_Spa_V1_2,Early_Writing_spa_v1_EWC_Spa_V1_3,Early_Writing_spa_v1_EWC_Spa_V1_4,Early_Writing_spa_v1_EWC_Spa_V1_5,Early_Writing_spa_v1_EWC_Spa_V1_6,Early_Writing_spa_v1_EWC_Spa_V1_7,Early_Writing_spa_v1_EWC_Spa_V1_8,Early_Writing_spa_v1_EWC_Spa_V1_9,Early_Writing_spa_v1_EWC_Spa_V1_10
Wave 1,23-24,11111,District_1 Name,EDS1111111,11111111,School_1 Name,EDD1111111,Public School,Active,10000,Teacher_1,ETE1111111,1111111111,,CLS111111,Teach1 PK Class,ECL1111111,Active,Full Day,PK,1000000,StuFirst1,StuMid1,StuLast1,1/1/2018,Active,ESU100000000,1111111111,En and Sp,Male,White,Hispanic or Latino,PK,,NO,NO,NO,YES,NO,8/14/2023,5/24/2024,37,9/12/2023 9:08,On Track,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,22,9/12/2023 13:27,On Track,3,9/12/2023 13:28,Needs Support,1,1,0,1,0,0,0,5,9/12/2023 14:36,On Track,1,1,1,1,1,6,9/13/2023 14:39,On Track,1,1,0,1,1,1,1,8,9/14/2023 9:44,On Track,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,4,9/6/2023 14:13,On Track,1,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave 1,23-24,11111,District_1 Name,EDS1111111,11111111,School_1 Name,EDD1111111,Public School,Active,11000,Teacher_2,ETE2222222,2222222222,,CLS222222,Teach2 PK Class,ECL2222222,Active,Full Day,PK,2000000,StuFirst2,StuMid2,StuLast2,2/2/2018,Active,ESU200000000,2222222222,En and Sp,Male,Black or African American,Hispanic or Latino,EE,,NO,NO,NO,YES,YES,8/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9/7/2023 13:58,On Track,1,1,0,0,0,0,1,1,0,0,0,9/12/2023 13:41,Needs Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,9/12/2023 13:41,Needs Support,0,9/14/2023 9:12,Needs Support,0,0,0,0,0,0,0,3,9/12/2023 13:43,Needs Support,1,0,0,0,1,1,0,1,9/14/2023 9:16,Needs Support,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave 1,23-24,11111,District_1 Name,EDS1111111,11111222,School_2 Name,EDD2222222,Public School,Inactive,11100,Teacher_3,ETE3333333,3333333333,,CLS333333,Teach3 PK Class,ECL3333333,Active,Full Day,PK,3000000,StuFirst3,StuMid3,StuLast3,3/3/2018,Active,ESU300000000,3333333333,En and Sp,Female,Asian,Not Hispanic or Latino,EE,,NO,NO,NO,YES,NO,8/14/2023,5/24/2024,2,9/12/2023 9:01,Needs Support,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9/14/2023 9:33,On Track,3,9/14/2023 9:34,Needs Support,1,1,0,1,0,0,0,0,9/14/2023 9:37,Needs Support,0,0,0,0,0,4,9/14/2023 9:42,Needs Support,1,0,0,1,0,1,1,6,9/14/2023 9:45,Needs Support,1,1,0,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,9/10/2023 11:21,On Track,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave 1,23-24,22222,District_2 Name,EDS2222222,22222222,School_3 Name,EDD3333333,Public School,Active,11110,Teacher_4,ETE4444444,4444444444,,CLS444444,Teach4 PK Class,ECL4444444,Active,Full Day,PK,4000000,StuFirst4,StuMid4,StuLast4,1/1/2018,Active,ESU400000000,4444444444,En and Sp,Male,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,PK,,NO,NO,NO,YES,NO,10/3/2023,,0,9/20/2023 13:49,Out of Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9/20/2023 13:49,Monitor,0,9/20/2023 14:02,Out of Range,0,0,0,0,0,0,0,0,9/20/2023 14:02,Out of Range,0,0,0,0,0,0,9/20/2023 14:02,Out of Range,0,0,0,0,0,0,0,0,9/20/2023 14:02,Out of Range,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2,9/7/2023 22:10,On Track,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave 1,23-24,33333,District_3 Name,EDS3333333,33333333,School_4 Name,EDD4444444,Public School,Active,11111,Teacher_5,ETE5555555,5555555555,,CLS555555,Teach5 PK Class,ECL5555555,Active,Full Day,PK,5000000,StuFirst5,StuMid5,StuLast5,2/2/2018,Active,ESU500000000,5555555555,En and Sp,Female,American Indian or Alaska Native,Not Hispanic or Latino,PK,,YES,YES,NO,YES,NO,10/3/2023,5/24/2024,0,10/12/2023 13:50,Monitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,10/12/2023 13:53,Monitor,0,10/12/2023 13:53,Monitor,0,0,0,0,0,0,0,0,10/12/2023 13:54,Monitor,0,0,0,0,0,0,10/12/2023 13:56,Monitor,0,0,0,0,0,0,0,0,10/12/2023 13:57,Monitor,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,10/11/2023 12:56,On Track,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave 3,23-24,44444,District_4 Name,EDS4444444,44444555,School_5 Name,EDD5555555,Public School,Active,20000,Teacher_6,ETE6666666,6666666666,,CLS666666,Teach6 PK Class,ECL6666666,Active,Full Day,PK,6000000,StuFirst6,StuMid6,StuLast6,3/3/2018,Inactive,ESU600000000,6666666666,English,Male,White,Hispanic or Latino,PK,,NO,NO,NO,YES,NO,10/3/2023,12/6/2023,20,10/11/2023 13:55,On Track,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,10,10/11/2023 13:55,On Track,1,10/11/2023 14:00,Needs Support,1,0,0,0,0,0,0,1,10/11/2023 14:00,Needs Support,0,0,0,1,0,4,10/11/2023 14:00,Needs Support,1,1,0,0,1,1,0,4,10/11/2023 14:00,Needs Support,0,0,1,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,4,10/13/2023 12:35,On Track,1,1,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave 3,23-24,44444,District_4 Name,EDS4444444,44444666,School_6 Name,EDD6666666,Public School,Inactive,22000,Teacher_7,ETE7777777,7777777777,,CLS777777,Teach7 PK Class,ECL7777777,Active,Full Day,PK,7000000,StuFirst7,StuMid7,StuLast7,1/1/2018,Active,ESU700000000,7777777777,En and Sp,Male,White,Hispanic or Latino,PK,,NO,NO,NO,YES,NO,8/14/2023,5/24/2024,2,9/11/2023 10:34,Needs Support,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9/13/2023 9:06,On Track,3,9/13/2023 9:07,Needs Support,1,1,0,1,0,0,0,1,9/13/2023 13:27,Needs Support,1,0,0,0,0,4,9/15/2023 9:55,Needs Support,1,1,0,0,1,1,0,5,9/15/2023 9:57,Needs Support,1,1,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,9/7/2023 12:49,Needs Support,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
