assessmentIdentifier,assessmentTitle,assessmentFamily,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
cli_circle_rln,Rapid Letter Naming,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_circle_rapid_vocabulary,Rapid Vocabulary,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_circle_pa,Phonological Awareness,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_circle_pa_opt,Optional Phonological Awareness,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_circle_math,Math,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
cli_circle_math_opt,Optional Math,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
cli_circle_letter_sound,Letter-Sound Correspondence,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_circle_story_retell_comp,Story Retell and Comprehension,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_circle_book_print,Book and Print Knowledge,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_circle_science,Science,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cli_circle_social_studies,Social Studies,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cli_circle_social_emotional,Social Emotional Behaviors,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Social and emotional development,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cli_circle_early_writing,Early Writing Skills Early Writing Skills,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#Writing
cli_circle_approaches_to_learning_exp,Approaches to Learning Expanded,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Approaches toward learning,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cli_circle_physical_dev_health,Physical Development and Health,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Physical well-being and motor dev,"uri://ed-fi.org/AcademicSubjectDescriptor#Physical, Health, and Safety Education"
cli_circle_language_communication,Speech Production and Sentence Skills,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_circle_motivation_to_read,Motivation to Read,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
cli_circle_cpm_admin_mode,Administration Mode,"CLI CIRCLE",uri://www.cliengage.org/circle/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Other
