assessmentIdentifier,assessmentTitle,assessmentFamily,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
cli_tx-kea_dyslexia_checklist,KG Dyslexia Referral Checklist,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_dyslexia_screener,Dyslexia Screener,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_literacy_screening,Literacy Screening,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_literacy_reading_composite,Literacy Reading Composite,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_language_composite,Language Composite,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_letter_names,Letter Names,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_spelling,Spelling,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_listening_comp,Listening Comp,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_vocabulary,Vocabulary,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_decoding,Decoding,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_letter_sounds,Letter Sounds,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_blending,Blending,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cli_tx-kea_math,Math,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
cli_tx-kea_science,Science,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cli_tx-kea_social_emotional,Social Emotional Competence,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Social and emotional development,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cli_tx-kea_emotional_management,Emotion Management,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Social and emotional development,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cli_tx-kea_working_memory,Working Memory,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Cognition and general knowledge,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cli_tx-kea_inhibition,Inhibition,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Cognition and general knowledge,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cli_tx-kea_attention,Attention,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Cognition and general knowledge,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cli_tx-kea_academic_motor,Academic Motor Skills,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Physical well-being and motor dev,"uri://ed-fi.org/AcademicSubjectDescriptor#Physical, Health, and Safety Education"
cli_tx-kea_admin_mode,Administration Mode,"CLI TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Other




