assessmentIdentifier,identificationCode,AcademicSubjectDescriptor
cli_tx_kea,"Letter Names Set 1","Letter Names"
cli_tx_kea,"Letter Names Set 2","Letter Names"
cli_tx_kea,"Letter Names Set 3","Letter Names"
cli_tx_kea,"Spelling Set 1","Spellings"
cli_tx_kea,"Spelling Set 2","Spelling"
cli_tx_kea,"Spelling Set 3","Spelling"
cli_tx_kea,"Listening Comprehension 1","Listening Comp"
cli_tx_kea,"Listening Comp 2 Receptive","Listening Comp"
cli_tx_kea,"Listening Comp 2 Expressive","Listening Comp"
cli_tx_kea,"Listening Comprehension 3 Receptive","Listening Comp"
cli_tx_kea,"Listening Comprehension 3 Expressive - Dropped","Listening Comp"
cli_tx_kea,"Vocabulary Wave 1","Vocabulary"
cli_tx_kea,"Vocabulary Wave 2","Vocabulary"
cli_tx_kea,"Vocabulary Wave 3","Vocabulary"
cli_tx_kea,"Decoding Wave 1","Decoding"
cli_tx_kea,"Decoding Wave 2","Decoding"
cli_tx_kea,"Decoding Wave 3","Decoding"
cli_tx_kea,"Letter Sounds 1","Letter Sounds"
cli_tx_kea,"Letter Sounds 2 Receptive","Letter Sounds"
cli_tx_kea,"Letter Sounds 2 Expressive","Letter Sounds"
cli_tx_kea,"Letter Sounds 3 Receptive","Letter Sounds"
cli_tx_kea,"Letter Sounds 3 Expressive","Letter Sounds"
cli_tx_kea,"Blending 1","Blending"
cli_tx_kea,"Blending 2","Blending"
cli_tx_kea,"Blending 3 Receptive","Blending"
cli_tx_kea,"Blending 3 Expressive","Blending"
cli_tx_kea,"Math Part 1","Mathematics"
cli_tx_kea,"Math Part 2","Mathematics"
cli_tx_kea,"Math Part 1 W2","Mathematics"
cli_tx_kea,"Math Part 2 W2","Mathematics"
cli_tx_kea,"Math Part 1 W3","Mathematics"
cli_tx_kea,"Math Part 2 W3","Mathematics"
cli_tx_kea,"Science 1","Science"
cli_tx_kea,"Science 2","Science"
cli_tx_kea,"Science 3","Science"
