assessmentIdentifier,cmas_grade,gradeLevelDescriptor
CMAS-ELA,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
CMAS-ELA,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
CMAS-ELA,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
CMAS-ELA,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
CMAS-ELA,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
CMAS-ELA,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
CMAS-ELA,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
CMAS-ELA,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
CMAS-ELA,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
CMAS-ELA,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
CMAS-ELA,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
CMAS-ELA,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
CMAS-MAT,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
CMAS-MAT,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
CMAS-MAT,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
CMAS-MAT,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
CMAS-MAT,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
CMAS-MAT,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
CMAS-MAT,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
CMAS-MAT,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
CMAS-MAT,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
CMAS-MAT,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
CMAS-MAT,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
CMAS-MAT,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
CMAS-SLA,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
CMAS-SLA,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
CMAS-SLA,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
CMAS-SLA,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
CMAS-SCI,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
CMAS-SCI,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
CMAS-SCI,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
CMAS-SCI,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
CMAS-SCI,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
CoAlt-SCI,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
CoAlt-SCI,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
CoAlt-SCI,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
CoAlt-SCI,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
CoAlt-SCI,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
