from,to
00,Absent
01,Other Assessment OR Duplicate
02,1st Year in US English Learner
03,Withdrew Before/During Testing
04,Student Test Refusal
05,State Use Only 05
06,Misadministration
07,Medical Exemption
08,Part Time Public/Home School
09,Parent Excuse
10,State Use Only 10
0,Absent
1,Other Assessment OR Duplicate
2,1st Year in US English Learner
3,Withdrew Before/During Testing
4,Student Test Refusal
5,State Use Only 05
6,Misadministration
7,Medical Exemption
8,Part Time Public/Home School
9,Parent Excuse
