assessmentIdentifier,assessmentTitle,assessmentFamily,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
cambridge_aice_diploma,Cambridge - AICE Diploma,Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
cambridge_A_9689,Cambridge - Tamil (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9844,Cambridge - Spanish (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9868,Cambridge - Chinese (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_8101,Cambridge - US History to 1877 (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_8102,Cambridge - US History since 1877 (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_9084,Cambridge - Law (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_A_9093,Cambridge - English Language (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#English
cambridge_A_9231,Cambridge - Mathematics (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
cambridge_A_9239,Cambridge - Global Perspectives & Research (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
