start_index,end_index,column_name
0,30,Order_Number
30,38,Test
38,68,State_Name
68,98,Region_Name
98,113,Region_Code
113,143,System_Name
143,158,System_Code
158,188,District_Name
188,203,District_Code
203,233,Building_Name
233,248,Building_Code
248,278,Class_Name
278,293,Class_Code
293,295,Class_Grade
295,303,Date_Tested
303,323,Student_Last_Name
323,343,Student_First_Name
343,363,Student_NameMiddle_Initial
363,403,GUID
403,414,Student_ID
414,434,Secondary_Student_ID
434,435,Gender
435,443,Date_of_Birth
443,447,Age_in_Months
447,451,Age_in_Years_Months
451,465,Ethnicity_String
465,466,Filler0
466,467,Battery
467,469,Level
469,470,Form
470,472,Norm_Year
472,479,Quartermonth
479,480,Semester
480,481,Home_Reporting
481,502,Programs_String
502,505,Other_Info_Field_1_Value
505,508,Other_Info_Field_2_Value
508,511,Other_Info_Field_3_Value
511,514,Other_Info_Field_4_Value
514,515,Filler1
515,545,Office_Use_Subtest_Exclusion
545,546,Filler2
546,547,Office_Use_Only_Z_Value
547,567,Code_Character_String_A_T
567,577,Filler3
577,578,Test_Administrator_Use_A_Value
578,588,Filler4
588,589,Test_Administrator_Use_B_Value
589,599,Filler5
599,600,Test_Administrator_Use_C_Value
600,610,Filler6
610,611,Test_Administrator_Use_D_Value
611,621,Filler7
621,622,Test_Administrator_Use_E_Value
622,632,Filler8
632,633,Test_Administrator_Use_F_Value
633,635,Test_Administrator_Use_G_Value
635,637,Test_Administrator_Use_H_Value
637,639,Test_Administrator_Use_I_Value
639,641,Test_Administrator_Use_J_Value
641,643,Test_Administrator_Use_K_Value
643,645,Test_Administrator_Use_L_Value
645,647,Test_Administrator_Use_M_Value
647,657,Filler9
657,658,Test_Administrator_Use_N_Value
658,668,Filler10
668,669,Test_Administrator_Use_O_Value
669,679,Filler11
679,680,Test_Administrator_Use_P_Value
680,690,Filler12
690,691,Test_Administrator_Use_Q_Value
691,701,Filler13
701,702,Test_Administrator_Use_R_Value
702,712,Filler14
712,713,Test_Administrator_Use_S_Value
713,753,Filler15
753,755,Number_Attempted_NA__verbal
755,757,Number_Attempted_NA__quantitative
757,759,Number_Attempted_NA__nonverbal
813,814,Completion_Criteria_CC__verbal
814,815,Completion_Criteria_CC__quantitative
815,816,Completion_Criteria_CC__nonverbal
816,817,Completion_Criteria_CC__composite_vq
817,818,Completion_Criteria_CC__composite_vn
818,819,Completion_Criteria_CC__composite_qn
819,820,Completion_Criteria_CC__composite_vqn
843,845,Raw_Score_RS__verbal
845,847,Raw_Score_RS__quantitative
847,849,Raw_Score_RS__nonverbal
903,906,Universal_Scale_Score_USS__verbal
906,909,Universal_Scale_Score_USS__quantitative
909,912,Universal_Scale_Score_USS__nonverbal
912,915,Universal_Scale_Score_USS__composite_vq
915,918,Universal_Scale_Score_USS__composite_vn
918,921,Universal_Scale_Score_USS__composite_qn
921,924,Universal_Scale_Score_USS__composite_vqn
993,1113,Filler16
1113,1116,Standard_Age_Score_SAS__verbal
1116,1119,Standard_Age_Score_SAS__quantitative
1119,1122,Standard_Age_Score_SAS__nonverbal
1122,1125,Standard_Age_Score_SAS__composite_vq
1125,1128,Standard_Age_Score_SAS__composite_vn
1128,1131,Standard_Age_Score_SAS__composite_qn
1131,1134,Standard_Age_Score_SAS__composite_vqn
1203,1205,Grade_Percentile_Rank_GPR__verbal
1205,1207,Grade_Percentile_Rank_GPR__quantitative
1207,1209,Grade_Percentile_Rank_GPR__nonverbal
1209,1211,Grade_Percentile_Rank_GPR__composite_vq
1211,1213,Grade_Percentile_Rank_GPR__composite_vn
1213,1215,Grade_Percentile_Rank_GPR__composite_qn
1215,1217,Grade_Percentile_Rank_GPR__composite_vqn
1263,1265,Age_Percentile_Rank_APR__verbal
1265,1267,Age_Percentile_Rank_APR__quantitative
1267,1269,Age_Percentile_Rank_APR__nonverbal
1269,1271,Age_Percentile_Rank_APR__composite_vq
1271,1273,Age_Percentile_Rank_APR__composite_vn
1273,1275,Age_Percentile_Rank_APR__composite_qn
1275,1277,Age_Percentile_Rank_APR__composite_vqn
1323,1383,Filler17
1383,1384,Grade_Stanine_GS__verbal
1384,1385,Grade_Stanine_GS__quantitative
1385,1386,Grade_Stanine_GS__nonverbal
1386,1387,Grade_Stanine_GS__composite_vq
1387,1388,Grade_Stanine_GS__composite_vn
1388,1389,Grade_Stanine_GS__composite_qn
1389,1390,Grade_Stanine_GS__composite_vqn
1413,1414,Age_Stanine_AS__verbal
1414,1415,Age_Stanine_AS__quantitative
1415,1416,Age_Stanine_AS__nonverbal
1416,1417,Age_Stanine_AS__composite_vq
1417,1418,Age_Stanine_AS__composite_vn
1418,1419,Age_Stanine_AS__composite_qn
1419,1420,Age_Stanine_AS__composite_vqn
1443,1473,Filler18
1473,1474,SAS_Valid_Flags__verbal
1474,1475,SAS_Valid_Flags__quantitative
1475,1476,SAS_Valid_Flags__nonverbal
1476,1477,SAS_Valid_Flags__composite_vq
1477,1478,SAS_Valid_Flags__composite_vn
1478,1479,SAS_Valid_Flags__composite_qn
1479,1480,SAS_Valid_Flags__composite_vqn
1503,1504,TMO_Flags__verbal
1504,1505,TMO_Flags__quantitative
1505,1506,TMO_Flags__nonverbal
1506,1507,TMO_Flags__composite_vq
1507,1508,TMO_Flags__composite_vn
1508,1509,TMO_Flags__composite_qn
1509,1510,TMO_Flags__composite_vqn
1533,1534,Extremely_Variable_Flags__verbal
1534,1535,Extremely_Variable_Flags__quantitative
1535,1536,Extremely_Variable_Flags__nonverbal
1536,1537,Extremely_Variable_Flags__composite_vq
1537,1538,Extremely_Variable_Flags__composite_vn
1538,1539,Extremely_Variable_Flags__composite_qn
1539,1540,Extremely_Variable_Flags__composite_vqn
1563,1564,Chance_Flags__verbal
1564,1565,Chance_Flags__quantitative
1565,1566,Chance_Flags__nonverbal
1566,1567,Chance_Flags__composite_vq
1567,1568,Chance_Flags__composite_vn
1568,1569,Chance_Flags__composite_qn
1569,1570,Chance_Flags__composite_vqn
1593,1603,Ability_Profile
1603,1693,Filler19
1693,1813,Filler20
1813,1873,Filler21
1873,1993,Filler22
1993,2113,Filler23
2113,2203,Filler24
2203,2205,Local_Percentile_Rank__verbal
2205,2207,Local_Percentile_Rank__quantitative
2207,2209,Local_Percentile_Rank__nonverbal
2209,2211,Local_Percentile_Rank__composite_vq
2211,2213,Local_Percentile_Rank__composite_vn
2213,2215,Local_Percentile_Rank__composite_qn
2215,2217,Local_Percentile_Rank__composite_vqn
2263,2264,Local_Stanines__verbal
2264,2265,Local_Stanines__quantitative
2265,2266,Local_Stanines__nonverbal
2266,2267,Local_Stanines__composite_vq
2267,2268,Local_Stanines__composite_vn
2268,2269,Local_Stanines__composite_qn
2269,2270,Local_Stanines__composite_vqn
2293,2353,Filler25
2353,2413,Filler26
2413,2416,Filler27
2416,2419,Filler28
2419,2422,Filler29
2422,2425,Filler30
2425,2428,Filler31
2428,2431,Filler32
2431,2438,Raw_Score_Personal_Standard_Error__verbal
2438,2445,Raw_Score_Personal_Standard_Error__quantitative
2445,2452,Raw_Score_Personal_Standard_Error__nonverbal
2641,2648,Raw_Score_Upper_Bound__verbal
2648,2655,Raw_Score_Upper_Bound__quantitative
2655,2662,Raw_Score_Upper_Bound__nonverbal
2851,2858,Raw_Score_Lower_Bound__verbal
2858,2865,Raw_Score_Lower_Bound__quantitative
2865,2872,Raw_Score_Lower_Bound__nonverbal
3061,3067,SAS_Upper_Bound__verbal
3067,3073,SAS_Upper_Bound__quantitative
3073,3079,SAS_Upper_Bound__nonverbal
3079,3085,SAS_Upper_Bound__composite_vq
3085,3091,SAS_Upper_Bound__composite_vn
3091,3097,SAS_Upper_Bound__composite_qn
3097,3103,SAS_Upper_Bound__composite_vqn
3241,3247,SAS_Lower_Bound__verbal
3247,3253,SAS_Lower_Bound__quantitative
3253,3259,SAS_Lower_Bound__nonverbal
3259,3265,SAS_Lower_Bound__composite_vq
3265,3271,SAS_Lower_Bound__composite_vn
3271,3277,SAS_Lower_Bound__composite_qn
3277,3283,SAS_Lower_Bound__composite_vqn
3421,3481,Filler33
3481,3485,Filler34
3485,3489,Filler35
3489,3493,Filler36
3493,3494,Filler37
3494,3498,Filler38
3498,3499,Filler39
3499,3589,Filler40
3589,3679,Filler41
3679,3769,Filler42
3769,3949,Filler43
3949,4029,Filler44
4029,4149,Filler45
4149,4179,Filler46
4179,4399,Item_Responses_1_220
4399,4619,Item_Responses_221_440
4619,4839,Item_Responses_441_660
4839,4929,Filler47
4929,5049,Filler48
5049,5109,Filler49
5109,5139,Filler50
5139,5140,Mode_of_Administration__00
5140,5141,Mode_of_Administration__01
5141,5142,Mode_of_Administration__02
5142,5143,Mode_of_Administration__03
5143,5144,Mode_of_Administration__04
5144,5145,Mode_of_Administration__05
5145,5146,Mode_of_Administration__06
5146,5147,Mode_of_Administration__07
5147,5148,Mode_of_Administration__08
5148,5149,Mode_of_Administration__09
5149,5150,Mode_of_Administration__10
5150,5151,Mode_of_Administration__11
5151,5152,Mode_of_Administration__12
5152,5153,Mode_of_Administration__13
5153,5154,Mode_of_Administration__14
5154,5155,Mode_of_Administration__15
5155,5156,Mode_of_Administration__16
5156,5157,Mode_of_Administration__17
5157,5158,Mode_of_Administration__18
5158,5159,Mode_of_Administration__19
5159,5199,TestInstance_GUID
5199,5319,Filler51
5319,5439,Filler52
5439,5559,Filler53
5559,5679,Filler54
5679,5682,Administration_Language
