codeValue,description,namespace,shortDescription
Battery,Complete or screening,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Battery
Level,Grade level,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Level
Form,CogAT 7 or 8,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Form
Norm Year,Test year against which score is normalized,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Norm Year
Number Attempted,Number of questions to which an answer is given,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Number Attempted
Raw Score,Raw Score,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Raw Score
Universal Scale Score,Universal Scale Score,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Universal Scale Score
Standard Age Score,Standard Age Score,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Standard Age Score
Grade Percentile Rank,Grade Percentile Rank,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Grade Percentile Rank
Age Percentile Rank,Age Percentile Rank,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Age Percentile Rank
Local Percentile Rank,Local Percentile Rank,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Local Percentile Rank
Grade Stanine,Grade Stanine,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Grade Stanine
Age Stanine,Age Stanine,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Age Stanine
Local Stanine,Local Stanine,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Local Stanine
Standard Age Score Upper Bound,Standard Age Score Upper Bound,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,SAS Upper Bound
Standard Age Score Lower Bound,Standard Age Score Lower Bound,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,SAS Lower Bound
Completion Criteria Met,Completion Criteria Met,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Completion Criteria Met
Standard Age Score Valid Flag,Standard Age Score Valid Flag,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Standard Age Score Valid Flag
Too Many Omits Flag,Too Many Omits Flag,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Too Many Omits Flag
Extremely Variable Flag,Extremely Variable Flag,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Extremely Variable Flag
Chance Flag,Chance Flag,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Chance Flag
Ability Profile,Ability Profile,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Ability Profile
Raw Score Personal Standard Error,Raw Score Personal Standard Error,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Raw Score Personal Standard Error
Raw Score Upper Bound,Raw Score Upper Bound,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Raw Score Upper Bound
Raw Score Lower Bound,Raw Score Lower Bound,uri://www.riversideinsights.com/cognitive_abilities_test/AssessmentReportingMethodDescriptor,Raw Score Lower Bound
