assessmentIdentifier,cogat_grade,grade_descriptor
CogAT,0,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
CogAT,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
CogAT,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
CogAT,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
CogAT,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
CogAT,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
CogAT,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
CogAT,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
CogAT,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
CogAT,9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
CogAT,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
CogAT,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
CogAT,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
