codeValue,description,shortDescription,namespace
Y,Yes,Y,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
N,No,N,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
N/A,Not applicable,N/A,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1A,,1A,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1B (V-),,1B (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1B (V+),,1B (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1B (Q-),,1B (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1B (Q+),,1B (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1B (N-),,1B (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1B (N+),,1B (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (V-Q+),,1C (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (V-N+),,1C (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (V+Q-),,1C (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (V+N-),,1C (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (Q-V+),,1C (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (Q-N+),,1C (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (Q+V-),,1C (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (Q+N-),,1C (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (N-V+),,1C (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (N-Q+),,1C (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (N+V-),,1C (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1C (N+Q-),,1C (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (V-),,1E (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (V+),,1E (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (Q-),,1E (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (Q+),,1E (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (N-),,1E (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (N+),,1E (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (V-Q+),,1E (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (V-N+),,1E (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (V+Q-),,1E (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (V+N-),,1E (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (Q-V+),,1E (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (Q-N+),,1E (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (Q+V-),,1E (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (Q+N-),,1E (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (N-V+),,1E (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (N-Q+),,1E (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (N+V-),,1E (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
1E (N+Q-),,1E (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2A,,2A,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2B (V-),,2B (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2B (V+),,2B (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2B (Q-),,2B (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2B (Q+),,2B (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2B (N-),,2B (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2B (N+),,2B (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (V-Q+),,2C (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (V-N+),,2C (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (V+Q-),,2C (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (V+N-),,2C (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (Q-V+),,2C (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (Q-N+),,2C (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (Q+V-),,2C (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (Q+N-),,2C (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (N-V+),,2C (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (N-Q+),,2C (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (N+V-),,2C (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2C (N+Q-),,2C (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (V-),,2E (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (V+),,2E (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (Q-),,2E (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (Q+),,2E (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (N-),,2E (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (N+),,2E (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (V-Q+),,2E (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (V-N+),,2E (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (V+Q-),,2E (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (V+N-),,2E (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (Q-V+),,2E (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (Q-N+),,2E (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (Q+V-),,2E (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (Q+N-),,2E (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (N-V+),,2E (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (N-Q+),,2E (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (N+V-),,2E (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
2E (N+Q-),,2E (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3A,,3A,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3B (V-),,3B (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3B (V+),,3B (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3B (Q-),,3B (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3B (Q+),,3B (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3B (N-),,3B (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3B (N+),,3B (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (V-Q+),,3C (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (V-N+),,3C (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (V+Q-),,3C (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (V+N-),,3C (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (Q-V+),,3C (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (Q-N+),,3C (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (Q+V-),,3C (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (Q+N-),,3C (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (N-V+),,3C (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (N-Q+),,3C (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (N+V-),,3C (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3C (N+Q-),,3C (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (V-),,3E (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (V+),,3E (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (Q-),,3E (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (Q+),,3E (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (N-),,3E (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (N+),,3E (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (V-Q+),,3E (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (V-N+),,3E (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (V+Q-),,3E (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (V+N-),,3E (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (Q-V+),,3E (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (Q-N+),,3E (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (Q+V-),,3E (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (Q+N-),,3E (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (N-V+),,3E (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (N-Q+),,3E (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (N+V-),,3E (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
3E (N+Q-),,3E (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4A,,4A,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4B (V-),,4B (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4B (V+),,4B (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4B (Q-),,4B (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4B (Q+),,4B (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4B (N-),,4B (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4B (N+),,4B (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4C (V-Q+),,4C (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4C (V-N+),,4C (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4C (V+Q-),,4C (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4C (V+N-),,4C (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4C (Q-V+),,4C (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4C (Q-N+),,4C (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4C (Q+V-),,4C (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4C (Q+N-),,4C (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4C (N-V+),,4C (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4C (N-Q+),,4C (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
