GradeLevel,codeValue,namespace,description,shortDescription
00,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor,Kindergarten
01,First grade,uri://ed-fi.org/GradeLevelDescriptor,First grade
02,Second grade,uri://ed-fi.org/GradeLevelDescriptor,Second grade
03,Third grade,uri://ed-fi.org/GradeLevelDescriptor,Third grade
04,Fourth grade,uri://ed-fi.org/GradeLevelDescriptor,Fourth grade
05,Fifth grade,uri://ed-fi.org/GradeLevelDescriptor,Fifth grade
06,Sixth grade,uri://ed-fi.org/GradeLevelDescriptor,Sixth grade
07,Seventh grade,uri://ed-fi.org/GradeLevelDescriptor,Seventh grade
08,Eighth grade,uri://ed-fi.org/GradeLevelDescriptor,Eighth grade
K,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor,Kindergarten
KG (Half),Kindergarten,uri://ed-fi.org/GradeLevelDescriptor,Kindergarten
PK,Prekindergarten,uri://ed-fi.org/GradeLevelDescriptor,Prekindergarten
Kindergart,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor,Kindergarten
