codeValue,description,namespace,shortDescription,start_year,end_year
Acc1,Accomodations 1,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc1,,
Acc2,Accomodations 2,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc2,,
Acc3,Accomodations 3,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc3,,
Acc4,Accomodations 4,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc4,,
Acc5,Accomodations 5,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc5,,
Acc6,Accomodations 6,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc6,,
AccW1,Accomodations 1 W,uri://datarecognitioncorp.com/AccommodationDescriptor,AccW1,,
AccW2,Accomodations 2 W,uri://datarecognitioncorp.com/AccommodationDescriptor,AccW2,,
AccW3,Accomodations 3 W,uri://datarecognitioncorp.com/AccommodationDescriptor,AccW3,,
AccW4,Accomodations 4 W,uri://datarecognitioncorp.com/AccommodationDescriptor,AccW4,,
AccW5,Accomodations 5 W,uri://datarecognitioncorp.com/AccommodationDescriptor,AccW5,,
AccW6,Accomodations 6 W,uri://datarecognitioncorp.com/AccommodationDescriptor,AccW6,,
ESLAcc1,ESL Accomodations 1,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc1,,
ESLAcc2,ESL Accomodations 2,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc2,,
ESLAcc3,ESL Accomodations 3,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc3,,
ESLAcc4,ESL Accomodations 4,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc4,,
ESLAcc5,ESL Accomodations 5,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc5,,
ESLAcc6,ESL Accomodations 6,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc6,,
ESLAccW1,ESL Accomodations 1 W,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAccW1,,
ESLAccW2,ESL Accomodations 2 W,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAccW2,,
ESLAccW3,ESL Accomodations 3 W,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAccW3,,
ESLAccW4,ESL Accomodations 4 W,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAccW4,,
ESLAccW5,ESL Accomodations 5 W,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAccW5,,
ESLAccW6,ESL Accomodations 6 W,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAccW6,,
CMat1,Customized Material 1,uri://datarecognitioncorp.com/AccommodationDescriptor,CMat1,,
CMat2,Customized Material 2,uri://datarecognitioncorp.com/AccommodationDescriptor,CMat2,,
CMat3,Customized Material 3,uri://datarecognitioncorp.com/AccommodationDescriptor,CMat3,,
CMat4,Customized Material 4,uri://datarecognitioncorp.com/AccommodationDescriptor,CMat4,,
CMat5,Customized Material 5,uri://datarecognitioncorp.com/AccommodationDescriptor,CMat5,,
CMat6,Customized Material 6,uri://datarecognitioncorp.com/AccommodationDescriptor,CMat6,,
CMat7,Customized Material 7,uri://datarecognitioncorp.com/AccommodationDescriptor,CMat7,,2024
CMat8,Customized Material 8,uri://datarecognitioncorp.com/AccommodationDescriptor,CMat8,,2024
CMatW4,Customized Material 4 W,uri://datarecognitioncorp.com/AccommodationDescriptor,CMatW4,2025,
CMatW5,Customized Material 5 W,uri://datarecognitioncorp.com/AccommodationDescriptor,CMatW5,2025,
CMatW6,Customized Material 6 W,uri://datarecognitioncorp.com/AccommodationDescriptor,CMatW6,,
CMatW7,Customized Material 7 W,uri://datarecognitioncorp.com/AccommodationDescriptor,CMatW7,,2024
CMatW8,Customized Material 8 W,uri://datarecognitioncorp.com/AccommodationDescriptor,CMatW8,,2024
SpecReq,IEP Special Request Code,uri://datarecognitioncorp.com/AccommodationDescriptor,SpecReq,,
SpecReqW,IEP Special Request Code W,uri://datarecognitioncorp.com/AccommodationDescriptor,SpecReqW,,
