codeValue,description,namespace,shortDescription,min_year,max_year
ActCode,Student Information System Code,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,ActCode,,
ActCodePRC,Student Information System Code from the Precode Data,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,ActCodePRC,,
AdultEd,Adult Education Status,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,AdultEd,,
Agg,Aggregated Student,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Agg,,
AttemptFlag,Attempted Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,AttemptFlag,,
AttemptItems,Number of Items Attempted,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,AttemptItems,,
Course,Course,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Course,,
District,District Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,District,,
DOB,Date of Birth,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,DOB,,
Duplicate,Duplicate Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Duplicate,,
English,English Proficiency,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,English,,
FAMPM,Finish Time AM/PM,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,FAMPM,,
FAMPMW,Finish Time AM/PM W,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,FAMPMW,,
FedReport,Observed Federal Reporting Category,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,FedReport,,
FileNumber,File Number,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,FileNumber,,
FName,Student First Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,FName,,
Form,Form,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Form,,
FormNum,Form Number for Scoring,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,FormNum,,
FTime,Finish Time,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,FTime,,
FTimeW,Finish Time W,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,FTimeW,,
