assessmentFamily,grade,gradeLevelDescriptor
EOCEP,-1,uri://ed.sc.gov/GradeLevelDescriptor#-1
EOCEP,0,uri://ed.sc.gov/GradeLevelDescriptor#0
EOCEP,1,uri://ed.sc.gov/GradeLevelDescriptor#1
EOCEP,2,uri://ed.sc.gov/GradeLevelDescriptor#2
EOCEP,3,uri://ed.sc.gov/GradeLevelDescriptor#3
EOCEP,4,uri://ed.sc.gov/GradeLevelDescriptor#4
EOCEP,5,uri://ed.sc.gov/GradeLevelDescriptor#5
EOCEP,6,uri://ed.sc.gov/GradeLevelDescriptor#6
EOCEP,7,uri://ed.sc.gov/GradeLevelDescriptor#7
EOCEP,8,uri://ed.sc.gov/GradeLevelDescriptor#8
EOCEP,9,uri://ed.sc.gov/GradeLevelDescriptor#9
EOCEP,10,uri://ed.sc.gov/GradeLevelDescriptor#10
EOCEP,11,uri://ed.sc.gov/GradeLevelDescriptor#11
EOCEP,12,uri://ed.sc.gov/GradeLevelDescriptor#12
EOCEP,AE,uri://ed.sc.gov/GradeLevelDescriptor#12+
EOCEP,01,uri://ed.sc.gov/GradeLevelDescriptor#1
EOCEP,02,uri://ed.sc.gov/GradeLevelDescriptor#2
EOCEP,03,uri://ed.sc.gov/GradeLevelDescriptor#3
EOCEP,04,uri://ed.sc.gov/GradeLevelDescriptor#4
EOCEP,05,uri://ed.sc.gov/GradeLevelDescriptor#5
EOCEP,06,uri://ed.sc.gov/GradeLevelDescriptor#6
EOCEP,07,uri://ed.sc.gov/GradeLevelDescriptor#7
EOCEP,08,uri://ed.sc.gov/GradeLevelDescriptor#8
EOCEP,09,uri://ed.sc.gov/GradeLevelDescriptor#9
EOCEP,",0",uri://ed.sc.gov/GradeLevelDescriptor#0
EOCEP,",1",uri://ed.sc.gov/GradeLevelDescriptor#1
EOCEP,",2",uri://ed.sc.gov/GradeLevelDescriptor#2
EOCEP,",3",uri://ed.sc.gov/GradeLevelDescriptor#3
EOCEP,",4",uri://ed.sc.gov/GradeLevelDescriptor#4
EOCEP,",5",uri://ed.sc.gov/GradeLevelDescriptor#5
EOCEP,",6",uri://ed.sc.gov/GradeLevelDescriptor#6
EOCEP,",7",uri://ed.sc.gov/GradeLevelDescriptor#7
EOCEP,",8",uri://ed.sc.gov/GradeLevelDescriptor#8
EOCEP,",9",uri://ed.sc.gov/GradeLevelDescriptor#9
EOCEP,",10",uri://ed.sc.gov/GradeLevelDescriptor#10
EOCEP,",11",uri://ed.sc.gov/GradeLevelDescriptor#11
EOCEP,",12",uri://ed.sc.gov/GradeLevelDescriptor#12
