identificationCode,assessmentIdentifier,description,namespace,start_year,end_year
Algebra,EOCEP_A,AlgLev1,uri://datarecognitioncorp.com/Assessment,,
Functions,EOCEP_A,AlgLev2,uri://datarecognitioncorp.com/Assessment,,
Number and Quantity; Interpreting Data,EOCEP_A,AlgLev3,uri://datarecognitioncorp.com/Assessment,,
H.B.1 Science and Engineering Practices,EOCEP_B,BioLev1,uri://datarecognitioncorp.com/Assessment,,
H.B.2 Cells as a System,EOCEP_B,BioLev2,uri://datarecognitioncorp.com/Assessment,,
H.B.3 Energy Transfer,EOCEP_B,BioLev3,uri://datarecognitioncorp.com/Assessment,,
H.B.4 Heredity-Inheritance and Variation of Traits,EOCEP_B,BioLev4,uri://datarecognitioncorp.com/Assessment,,
H.B.5 Biological Evolution and the Diversity of Life,EOCEP_B,BioLev5,uri://datarecognitioncorp.com/Assessment,,
H.B.6 Ecosystem Dynamics,EOCEP_B,BioLev6,uri://datarecognitioncorp.com/Assessment,,
Informational Text,EOCEP_E2,Eng2Lev1,uri://datarecognitioncorp.com/Assessment,,2024
Literary Text,EOCEP_E2,Eng2Lev2,uri://datarecognitioncorp.com/Assessment,,2024
Writing (to include TDA and Communication),EOCEP_E2,Eng2Lev3,uri://datarecognitioncorp.com/Assessment,,2024
Reading Literary Text,EOCEP_E2,Eng2Lev1,uri://datarecognitioncorp.com/Assessment,2025,
Reading Informational Text,EOCEP_E2,Eng2Lev2,uri://datarecognitioncorp.com/Assessment,2025,
Reading (vocabulary) Across Genres,EOCEP_E2,Eng2Lev3,uri://datarecognitioncorp.com/Assessment,2025,
Writing (to include TDW),EOCEP_E2,Eng2Lev4,uri://datarecognitioncorp.com/Assessment,2025,
Research and Evaluating Ideas,EOCEP_E2,Eng2Lev5,uri://datarecognitioncorp.com/Assessment,2025,
Foundations of American Republicanism,EOCEP_H,USHCLev1,uri://datarecognitioncorp.com/Assessment,,
Expansion and Union,EOCEP_H,USHCLev2,uri://datarecognitioncorp.com/Assessment,,
Capitalism and Reform,EOCEP_H,USHCLev3,uri://datarecognitioncorp.com/Assessment,,
Modernism and Interventionism,EOCEP_H,USHCLev4,uri://datarecognitioncorp.com/Assessment,,
Legacy of the Cold War,EOCEP_H,USHCLev5,uri://datarecognitioncorp.com/Assessment,,
