codeValue,description,namespace,shortDescription,isBasePeriod
01,Fall,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,Fall,1
02,Winter,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,Winter,1
03,Spring,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,Spring,1
04,Screening Period 4,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,Screening Period 4,1
05,Screening Period 5,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,Screening Period 5,1
06,From Fall to Winter,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,From Fall to Winter,0
07,From Fall to Spring,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,From Fall to Spring,0
08,From Winter to Spring,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,From Winter to Spring,0
09,From Fall to Screening Period 4,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,From Fall to Screening Period 4,0
10,From Winter to Screening Period 4,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,From Winter to Screening Period 4,0
11,From Spring to Screening Period 4,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,From Spring to Screening Period 4,0
12,From Fall to Screening Period 5,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,From Fall to Screening Period 5,0
13,From Winter to Screening Period 5,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,From Winter to Screening Period 5,0
14,From Spring to Screening Period 5,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,From Spring to Screening Period 5,0
15,From Screening Period 4 to Screening Period 5,uri://ed.sc.gov/FastBridge/AssessmentPeriodDescriptor,From Screening Period 4 to Screening Period 5,0
