assessmentIdentifier,namespace,identificationCode,AcademicSubjectDescriptor
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Early Reading English,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Concepts of Print,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Decodable Words,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Letter Names,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Letter Sounds,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Nonsense Words,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Onset Sounds,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Oral Repetition,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Word Rhyming,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Sentence Reading,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Sight Words,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Word Blending,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_earlyReading,uri://ed.sc.gov/FastBridge/earlyReading,Word Segmenting,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
FastBridge_CBMReading,uri://ed.sc.gov/FastBridge/CBMReading,CBMR-English,uri://ed.sc.gov/AcademicSubjectDescriptor#Reading
