assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_aMath,District Growth Percentile from Fall,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Fall
FastBridge_aMath,District Growth Percentile from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Screening Period 4
FastBridge_aMath,District Growth Percentile from Spring,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Spring
FastBridge_aMath,District Growth Percentile from Winter,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Winter
FastBridge_aMath,Growth Percentile by Start Score from Fall,"Ranking of a student's growth relative to other students who had similar starting scores compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Fall
FastBridge_aMath,Growth Percentile by Start Score from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Screening Period 4
FastBridge_aMath,Growth Percentile by Start Score from Spring,"Ranking of a student's growth relative to other students who had similar starting scores compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Spring
FastBridge_aMath,Growth Percentile by Start Score from Winter,"Ranking of a student's growth relative to other students who had similar starting scores compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Winter
FastBridge_aMath,Growth Score from Fall,Difference between two assessment scores across different periods compared to fall of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Fall
FastBridge_aMath,Growth Score from SP 4,Difference between two assessment scores across different periods compared to screening period 4 of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Screening Period 4
FastBridge_aMath,Growth Score from Spring,Difference between two assessment scores across different periods compared to spring of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Spring
FastBridge_aMath,Growth Score from Winter,Difference between two assessment scores across different periods compared to winter of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Winter
FastBridge_aMath,LEA Percentile,Percentile rank at LEA level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,LEA Percentile
FastBridge_aMath,National Growth Percentile from Fall,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Fall
