assessmentIdentifier,original_grade,edfi_descriptor
FastBridge_aMath,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_aMath,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_aMath,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_aMath,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_aMath,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_aMath,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_aMath,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_aMath,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_aMath,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_aMath,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_aMath,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_aMath,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_aMath,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_aMath,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_aReading,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_aReading,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_aReading,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_aReading,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_aReading,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_aReading,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_aReading,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_aReading,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_aReading,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_aReading,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_aReading,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_aReading,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_aReading,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_aReading,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
