assessmentIdentifier,scoreType,resultDatatypeTypeDescriptor
FastBridge_AUTOreading,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
FastBridge_AUTOreading,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
FastBridge_AUTOreading,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
FastBridge_AUTOreading,Theta,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
FastBridge_AUTOreading,SEM,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
FastBridge_AUTOreading,Scale Score,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
FastBridge_AUTOreading,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
FastBridge_AUTOreading,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,Growth Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
FastBridge_AUTOreading,Growth Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
FastBridge_AUTOreading,Growth Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
FastBridge_AUTOreading,Growth Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
FastBridge_AUTOreading,Growth Percentile by Start Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,Growth Percentile by Start Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,Growth Percentile by Start Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,Growth Percentile by Start Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,School Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,School Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,School Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,School Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,District Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,District Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,District Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,District Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,National Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,National Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,National Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
FastBridge_AUTOreading,National Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
