assessmentIdentifier,original_grade,gradeLevelDescriptor
FastBridge_CBMmath_Auto,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_CBMmath_Auto,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMmath_Auto,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMmath_Auto,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMmath_Auto,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMmath_Auto,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMmath_Auto,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMmath_Auto,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMmath_Auto,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMmath_Auto,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMmath_Auto,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMmath_Auto,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMmath_Auto,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMmath_Auto,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMmath_Process,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_CBMmath_Process,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMmath_Process,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMmath_Process,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMmath_Process,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMmath_Process,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMmath_Process,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMmath_Process,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMmath_Process,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMmath_Process,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMmath_Process,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMmath_Process,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMmath_Process,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMmath_Process,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMmath_CAP,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_CBMmath_CAP,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMmath_CAP,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMmath_CAP,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMmath_CAP,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMmath_CAP,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMmath_CAP,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMmath_CAP,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMmath_CAP,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMmath_CAP,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMmath_CAP,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMmath_CAP,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMmath_CAP,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMmath_CAP,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
