assessmentIdentifier,original_grade,gradeLevelDescriptor
FastBridge_CBMreading,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_CBMreading,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMreading,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMreading,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMreading,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMreading,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMreading,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMreading,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMreading,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMreading,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMreading,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMreading,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMreading,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMreading,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
