identificationCode,scoreType,resultDatatype
Passage1,Total Words Read,Integer
Passage1,Words Read Correct,Integer
Passage1,WRC per minute,Integer
Passage1,Accuracy,Integer
Passage2,Total Words Read,Integer
Passage2,Words Read Correct,Integer
Passage2,WRC per minute,Integer
Passage2,Accuracy,Integer
Passage3,Total Words Read,Integer
Passage3,Words Read Correct,Integer
Passage3,WRC per minute,Integer
Passage3,Accuracy,Integer
ComprehensionQuestion,IC per minute,Integer
ComprehensionQuestion,Total Items,Integer
ComprehensionQuestion,Items Correct,Integer
ComprehensionQuestion,School Percentile,Decimal
ComprehensionQuestion,LEA Percentile,Decimal
ComprehensionQuestion,National Percentile,Decimal
ComprehensionRecall,School Percentile,Decimal
ComprehensionRecall,LEA Percentile,Decimal
ComprehensionRecall,National Percentile,Decimal
ComprehensionRecallDetailed,IC per minute,Integer
ComprehensionRecallDetailed,Total Items,Integer
ComprehensionRecallDetailed,Items Correct,Integer
ComprehensionRecallSynthesis,IC per minute,Integer
ComprehensionRecallSynthesis,Total Items,Integer
ComprehensionRecallSynthesis,Items Correct,Integer
