assessmentIdentifier,original_grade,gradeLevelDescriptor
FastBridge_COMPefficiency,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_COMPefficiency,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_COMPefficiency,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_COMPefficiency,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_COMPefficiency,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_COMPefficiency,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_COMPefficiency,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_COMPefficiency,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_COMPefficiency,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_COMPefficiency,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_COMPefficiency,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_COMPefficiency,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_COMPefficiency,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_COMPefficiency,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
