Assessment,Assessment Language,State,District,School,Local ID,State ID,FAST ID,First Name,Last Name,Gender,DOB,Race,Special Ed. Status,Grade,Season,Final_Date,cbmr_english_total_words_read,cbmr_english_words_read_correct,cbmr_english_wrc_per_minute,cbmr_english_median_accuracy,cbmr_english_error_twr_wrc,cbmr_english_percentile_at_school,cbmr_english_percentile_at_lea,cbmr_english_percentile_at_nation,cbmr_english_risk_level,cbmr_english_final_date,concepts_of_print_total_items,concepts_of_print_items_correct,concepts_of_print_ic_per_minute,concepts_of_print_error_total_items_items_correct,concepts_of_print_percentile_at_school,concepts_of_print_percentile_at_lea,concepts_of_print_percentile_at_nation,concepts_of_print_risk_level,concepts_of_print_final_date,decodable_words_total_words_read,decodable_words_words_read_correct,decodable_words_wrc_per_minute,decodable_words_percentile_at_school,decodable_words_percentile_at_lea,decodable_words_percentile_at_nation,decodable_words_risk_level,decodable_words_final_date,early_reading_english_composite_score,early_reading_english_percentile_at_school,early_reading_english_percentile_at_lea,early_reading_english_percentile_at_nation,early_reading_english_risk_level,letter_names_total_words_read,letter_names_words_read_correct,letter_names_wrc_per_minute,letter_names_percentile_at_school,letter_names_percentile_at_lea,letter_names_percentile_at_nation,letter_names_risk_level,letter_names_final_date,letter_sounds_total_words_read,letter_sounds_words_read_correct,letter_sounds_wrc_per_minute,letter_sounds_percentile_at_school,letter_sounds_percentile_at_lea,letter_sounds_percentile_at_nation,letter_sounds_risk_level,letter_sounds_final_date,nonsense_words_total_words_read,nonsense_words_words_read_correct,nonsense_words_wrc_per_minute,nonsense_words_percentile_at_school,nonsense_words_percentile_at_lea,nonsense_words_percentile_at_nation,nonsense_words_risk_level,nonsense_words_final_date,onset_sounds_total_items,onset_sounds_items_correct,onset_sounds_ic_per_minute,onset_sounds_error_total_items_items_correct,onset_sounds_percentile_at_school,onset_sounds_percentile_at_lea,onset_sounds_percentile_at_nation,onset_sounds_risk_level,onset_sounds_final_date,oral_repetition_total_items,oral_repetition_items_correct,oral_repetition_ic_per_minute,oral_repetition_error_total_items_items_correct,oral_repetition_percentile_at_school,oral_repetition_percentile_at_lea,oral_repetition_percentile_at_nation,oral_repetition_risk_level,oral_repetition_final_date,sentence_reading_total_words_read,sentence_reading_words_read_correct,sentence_reading_wrc_per_minute,sentence_reading_percentile_at_school,sentence_reading_percentile_at_lea,sentence_reading_percentile_at_nation,sentence_reading_risk_level,sentence_reading_final_date,sight_words_total_words_read,sight_words_words_read_correct,sight_words_wrc_per_minute,sight_words_percentile_at_school,sight_words_percentile_at_lea,sight_words_percentile_at_nation,sight_words_risk_level,sight_words_final_date,word_blending_total_items,word_blending_items_correct,word_blending_ic_per_minute,word_blending_error_total_items_items_correct,word_blending_percentile_at_school,word_blending_percentile_at_lea,word_blending_percentile_at_nation,word_blending_risk_level,word_blending_final_date,word_rhyming_total_items,word_rhyming_items_correct,word_rhyming_ic_per_minute,word_rhyming_error_total_items_items_correct,word_rhyming_percentile_at_school,word_rhyming_percentile_at_lea,word_rhyming_percentile_at_nation,word_rhyming_risk_level,word_rhyming_final_date,word_segmenting_total_items,word_segmenting_items_correct,word_segmenting_ic_per_minute,word_segmenting_error_total_items_items_correct,word_segmenting_percentile_at_school,word_segmenting_percentile_at_lea,word_segmenting_percentile_at_nation,word_segmenting_risk_level,word_segmenting_final_date,decodable_words_error,letter_names_error,letter_sounds_error,nonsense_words_error,sentence_reading_error,sight_words_error
Early Reading English,,,,,,770487,,,,,,,,Kindergarten,Fall,8/18/2022,,,,,,,,,,,12,5,3.26,7,27.380953,22.321428,21,someRisk,8/18/2022,,,,,,,,,28,27.380953,21.577381,13,someRisk,12,1,1,10.714286,13.541667,8,highRisk,8/18/2022,10,0,0,0,0,13,someRisk,8/18/2022,,,,,,,,,16,8,4.03,8,46.42857,42.559525,27,someRisk,8/18/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,,,
Early Reading English,,,,,,216739,,,,,,,,Kindergarten,Fall,8/17/2022,,,,,,,,,,,12,8,4.32,4,67.85714,60.416668,55,lowRisk,8/17/2022,,,,,,,,,30,45.238094,42.410713,26,someRisk,24,7,7,45.238094,41.666668,26,someRisk,8/17/2022,10,1,1.58,42.857143,46.57738,29,someRisk,8/17/2022,,,,,,,,,16,8,3.4,8,46.42857,42.559525,27,someRisk,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,9,,,
Early Reading English,,,,,,126225,,,,,,,,Kindergarten,Fall,8/18/2022,,,,,,,,,,,12,5,2.59,7,27.380953,22.321428,21,someRisk,8/18/2022,,,,,,,,,28,27.380953,21.577381,13,someRisk,10,1,1.4,19.047619,21.279762,10,highRisk,8/18/2022,10,1,0.98,26.190475,29.910715,20,someRisk,8/18/2022,,,,,,,,,16,6,2.03,10,32.142857,31.845238,17,someRisk,8/18/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,
Early Reading English,,,,,,877572,,,,,,,,Kindergarten,Fall,8/15/2022,,,,,,,,,,,12,10,5.56,2,84.52381,82.8869,79,lowRisk,8/15/2022,,,,,,,,,39,94.04762,92.2619,78,lowRisk,36,35,35,94.04762,92.41071,76,lowRisk,8/15/2022,16,14,14,94.04762,88.9881,74,lowRisk,8/15/2022,,,,,,,,,16,16,7.8,0,84.52381,88.39286,99,lowRisk,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,
Early Reading English,,,,,,388389,,,,,,,,Kindergarten,Fall,8/17/2022,,,,,,,,,,,12,5,5.88,7,27.380953,22.321428,21,someRisk,8/17/2022,,,,,,,,,29,36.904762,33.184525,19,someRisk,20,4,6.15,44.04762,41.517857,24,someRisk,8/17/2022,20,2,2.67,58.333332,56.10119,37,lowRisk,8/17/2022,,,,,,,,,16,8,5.27,8,46.42857,42.559525,27,someRisk,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,,,
Early Reading English,,,,,,356787,,,,,,,,Kindergarten,Fall,8/18/2022,,,,,,,,,,,12,4,4,8,11.904762,10.863095,12,highRisk,8/18/2022,,,,,,,,,32,57.142857,56.54762,38,lowRisk,26,16,16,64.28571,62.20238,42,lowRisk,8/18/2022,14,3,3,60.714287,56.69643,39,lowRisk,8/18/2022,,,,,,,,,16,16,10.11,0,84.52381,88.39286,99,lowRisk,8/18/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,,,
Early Reading English,,,,,,334053,,,,,,,,Kindergarten,Fall,8/17/2022,,,,,,,,,,,12,4,5.11,8,11.904762,10.863095,12,highRisk,8/17/2022,,,,,,,,,26,3.5714285,4.464286,4,highRisk,10,0,0,0,0,5,highRisk,8/17/2022,10,0,0,0,0,13,someRisk,8/17/2022,,,,,,,,,16,3,2,13,14.285714,9.672619,7,highRisk,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,
Early Reading English,,,,,,872246,,,,,,,,Kindergarten,Fall,8/16/2022,,,,,,,,,,,12,8,5.71,4,63.855423,60.416668,55,lowRisk,8/16/2022,,,,,,,,,37,83.13253,84.67262,68,lowRisk,27,24,24,79.518074,77.38095,56,lowRisk,8/16/2022,20,15,15,90.36144,90.47619,76,lowRisk,8/16/2022,,,,,,,,,16,16,5.85,0,89.156624,88.39286,99,lowRisk,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,
Early Reading English,,,,,,809570,,,,,,,,Kindergarten,Fall,8/19/2022,,,,,,,,,,,12,1,0.44,11,0,0.14880952,1,highRisk,8/19/2022,,,,,,,,,25,0,1.3392857,2,highRisk,1,1,1,10.714286,13.541667,8,highRisk,8/19/2022,13,1,1,27.380953,30.208334,23,someRisk,8/19/2022,,,,,,,,,16,2,0.57,14,7.142857,5.357143,4,highRisk,8/19/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,
Early Reading English,,,,,,876646,,,,,,,,Kindergarten,Fall,8/16/2022,,,,,,,,,,,12,10,3.26,2,84.52381,82.8869,79,lowRisk,8/16/2022,,,,,,,,,36,82.14286,80.65476,62,lowRisk,29,24,24,73.809525,77.38095,56,lowRisk,8/16/2022,11,6,6,73.809525,70.833336,52,lowRisk,8/16/2022,,,,,,,,,16,15,5.23,1,80.95238,81.39881,73,lowRisk,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,
