codeValue,description,namespace,shortDescription
Composite Score,Early Reading English Composite Score,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Composite Score
School Percentile,Percentile rank at school level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Percentile
LEA Percentile,Percentile rank at LEA level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,LEA Percentile
National Percentile,Percentile rank at national level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Percentile
Risk Level,Risk level assessment,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Risk Level
Total Words Read,Total number of words read,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Total Words Read
Words Read Correct,Number of words read correctly,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Words Read Correct
WRC per minute,Words read correctly per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,WRC per minute
Median Accuracy,Median accuracy percentage,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Median Accuracy
Error Count,Number of errors made,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Error Count
Total Items,Total number of items attempted,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Total Items
Items Correct,Number of items answered correctly,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Items Correct
IC per minute,Items correct per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,IC per minute
Growth Score,Difference between two assessment scores across periods for the same year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score
School Growth Percentile,"Ranking of a student's growth relative to other students who had similar starting scores in the school",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile
District Growth Percentile,"Ranking of a student's growth relative to other students who had similar starting scores in the district",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile
National Growth Percentile,"Ranking of a student's growth relative to other students who had similar starting scores in the nation",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile
Growth Percentile by Start Score,"Ranking of a student's growth relative to other students who had similar starting scores",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score
