assessmentIdentifier,original_grade,gradeLevelDescriptor
FastBridge_earlyReading,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_earlyReading,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_earlyReading,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_earlyReading,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_earlyReading,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_earlyReading,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_earlyReading,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_earlyReading,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_earlyReading,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_earlyReading,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_earlyReading,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_earlyReading,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_earlyReading,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_earlyReading,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
