identificationCode,scoreType,resultDatatypeTypeDescriptor,variableName
CBMREnglish,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,cbmr_english_total_words_read
CBMREnglish,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,cbmr_english_words_read_correct
CBMREnglish,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,cbmr_english_wrc_per_minute
CBMREnglish,Median Accuracy,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,cbmr_english_median_accuracy
CBMREnglish,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,cbmr_english_error_twr_wrc
CBMREnglish,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,cbmr_english_percentile_at_school
CBMREnglish,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,cbmr_english_percentile_at_lea
CBMREnglish,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,cbmr_english_percentile_at_nation
CBMREnglish,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,cbmr_english_risk_level
ConceptsOfPrint,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,concepts_of_print_total_items
ConceptsOfPrint,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,concepts_of_print_items_correct
ConceptsOfPrint,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,concepts_of_print_ic_per_minute
ConceptsOfPrint,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,concepts_of_print_error_total_items___items_correct
ConceptsOfPrint,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,concepts_of_print_percentile_at_school
ConceptsOfPrint,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,concepts_of_print_percentile_at_lea
ConceptsOfPrint,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,concepts_of_print_percentile_at_nation
ConceptsOfPrint,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,concepts_of_print_risk_level
DecodableWords,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,decodable_words_total_words_read
DecodableWords,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,decodable_words_words_read_correct
DecodableWords,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,decodable_words_wrc_per_minute
DecodableWords,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,decodable_words_error
DecodableWords,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,decodable_words_percentile_at_school
DecodableWords,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,decodable_words_percentile_at_lea
DecodableWords,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,decodable_words_percentile_at_nation
DecodableWords,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,decodable_words_risk_level
LetterNames,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,letter_names_total_words_read
LetterNames,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,letter_names_words_read_correct
LetterNames,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,letter_names_wrc_per_minute
LetterNames,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,letter_names_error
LetterNames,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,letter_names_percentile_at_school
LetterNames,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,letter_names_percentile_at_lea
LetterNames,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,letter_names_percentile_at_nation
LetterNames,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,letter_names_risk_level
LetterSounds,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,letter_sounds_total_words_read
LetterSounds,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,letter_sounds_words_read_correct
LetterSounds,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,letter_sounds_wrc_per_minute
LetterSounds,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,letter_sounds_error
LetterSounds,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,letter_sounds_percentile_at_school
LetterSounds,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,letter_sounds_percentile_at_lea
LetterSounds,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,letter_sounds_percentile_at_nation
LetterSounds,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,letter_sounds_risk_level
NonsenseWords,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,nonsense_words_total_words_read
NonsenseWords,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,nonsense_words_words_read_correct
NonsenseWords,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,nonsense_words_wrc_per_minute
NonsenseWords,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,nonsense_words_error
NonsenseWords,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,nonsense_words_percentile_at_school
