identificationCode,scoreType,resultDatatypeTypeDescriptor
CBMREnglish,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
CBMREnglish,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
CBMREnglish,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
CBMREnglish,Median Accuracy,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
CBMREnglish,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMREnglish,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMREnglish,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMREnglish,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
ConceptsOfPrint,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
ConceptsOfPrint,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
ConceptsOfPrint,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
ConceptsOfPrint,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
DecodableWords,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
DecodableWords,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
DecodableWords,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
DecodableWords,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
LetterNames,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterNames,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterNames,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterNames,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
LetterSounds,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterSounds,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterSounds,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterSounds,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
NonsenseWords,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
NonsenseWords,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
NonsenseWords,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
NonsenseWords,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
NonsenseWords,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
NonsenseWords,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
NonsenseWords,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
OnsetSounds,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OnsetSounds,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OnsetSounds,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
