identificationCode,assessmentIdentifier,description,namespace,parentIdentificationCode,academicSubjectDescriptor
CBMREnglish,FastBridge_earlyReading,CBMR-English Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
ConceptsOfPrint,FastBridge_earlyReading,Concepts of Print Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
DecodableWords,FastBridge_earlyReading,Decodable Words Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
LetterNames,FastBridge_earlyReading,Letter Names Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
LetterSounds,FastBridge_earlyReading,Letter Sounds Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
NonsenseWords,FastBridge_earlyReading,Nonsense Words Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
OnsetSounds,FastBridge_earlyReading,Onset Sounds Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
OralRepetition,FastBridge_earlyReading,Oral Repetition Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
SentenceReading,FastBridge_earlyReading,Sentence Reading Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
SightWords,FastBridge_earlyReading,Sight Words Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
WordBlending,FastBridge_earlyReading,Word Blending Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
WordRhyming,FastBridge_earlyReading,Word Rhyming Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
WordSegmenting,FastBridge_earlyReading,Word Segmenting Assessment,uri://fastbridge.org/assessment,,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
