assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_earlyMath,Composite Score,Early Math Composite Score,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Composite Score
FastBridge_earlyMath,School Percentile,Percentile rank at school level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Percentile
FastBridge_earlyMath,LEA Percentile,Percentile rank at LEA level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,LEA Percentile
FastBridge_earlyMath,National Percentile,Percentile rank at national level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Percentile
FastBridge_earlyMath,Total Items,Total number of items attempted,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Total Items
FastBridge_earlyMath,Items Correct,Number of items answered correctly,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Items Correct
FastBridge_earlyMath,IC per minute,Items correct per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,IC per minute
FastBridge_earlyMath,Error,Error or Error (Total Items - Items Correct),uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Error
FastBridge_earlyMath,Total Number Read,Total number read,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Total Number Read
FastBridge_earlyMath,Number Read Correct,Number read correctly,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Number Read Correct
FastBridge_earlyMath,NRC per minute,Numbers read correctly per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,NRC per minute
FastBridge_earlyMath,Risk Level,Risk level assessment,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Risk Level
FastBridge_earlyMath,Growth Score from Fall,Difference between two assessment scores across different periods compared to fall of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Fall
FastBridge_earlyMath,School Growth Percentile from Fall,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Fall
FastBridge_earlyMath,District Growth Percentile from Fall,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Fall
FastBridge_earlyMath,National Growth Percentile from Fall,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Fall
FastBridge_earlyMath,Growth Percentile by Start Score from Fall,"Ranking of a student's growth relative to other students who had similar starting scores compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Fall
FastBridge_earlyMath,Growth Score from Winter,Difference between two assessment scores across different periods compared to winter of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Winter
FastBridge_earlyMath,School Growth Percentile from Winter,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Winter
FastBridge_earlyMath,District Growth Percentile from Winter,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Winter
FastBridge_earlyMath,National Growth Percentile from Winter,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Winter
FastBridge_earlyMath,Growth Percentile by Start Score from Winter,"Ranking of a student's growth relative to other students who had similar starting scores compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Winter
FastBridge_earlyMath,Growth Score from Spring,Difference between two assessment scores across different periods compared to spring of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Spring
FastBridge_earlyMath,School Growth Percentile from Spring,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Spring
FastBridge_earlyMath,District Growth Percentile from Spring,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Spring
FastBridge_earlyMath,National Growth Percentile from Spring,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Spring
FastBridge_earlyMath,Growth Percentile by Start Score from Spring,"Ranking of a student's growth relative to other students who had similar starting scores compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Spring
FastBridge_earlyMath,Growth Score from SP 4,Difference between two assessment scores across different periods compared to screening period 4 of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Screening Period 4
FastBridge_earlyMath,School Growth Percentile from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Screening Period 4
FastBridge_earlyMath,District Growth Percentile from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Screening Period 4
FastBridge_earlyMath,National Growth Percentile from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Screening Period 4
FastBridge_earlyMath,Growth Percentile by Start Score from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Screening Period 4
