original_grade,gradeLevelDescriptor
Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
One,uri://ed-fi.org/GradeLevelDescriptor#First grade
Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
