identificationCode,scoreType,resultDatatype
Composing,Total Items,Integer
Composing,Items Correct,Integer
Composing,IC per minute,Decimal
Composing,School Percentile,Percentile
Composing,LEA Percentile,Percentile
Composing,National Percentile,Percentile
CountingObjects,Total Items,Integer
CountingObjects,Items Correct,Integer
CountingObjects,IC per minute,Decimal
CountingObjects,School Percentile,Percentile
CountingObjects,LEA Percentile,Percentile
CountingObjects,National Percentile,Percentile
DecomposingONE,Total Items,Integer
DecomposingONE,Items Correct,Integer
DecomposingONE,IC per minute,Decimal
DecomposingONE,School Percentile,Percentile
DecomposingONE,LEA Percentile,Percentile
DecomposingONE,National Percentile,Percentile
DecomposingKG,Total Items,Integer
DecomposingKG,Items Correct,Integer
DecomposingKG,IC per minute,Decimal
DecomposingKG,School Percentile,Percentile
DecomposingKG,LEA Percentile,Percentile
DecomposingKG,National Percentile,Percentile
EqualPartitioning,Total Items,Integer
EqualPartitioning,Items Correct,Integer
EqualPartitioning,IC per minute,Decimal
EqualPartitioning,School Percentile,Percentile
EqualPartitioning,LEA Percentile,Percentile
EqualPartitioning,National Percentile,Percentile
MatchQuantity,Total Items,Integer
MatchQuantity,Items Correct,Integer
MatchQuantity,IC per minute,Decimal
MatchQuantity,School Percentile,Percentile
MatchQuantity,LEA Percentile,Percentile
MatchQuantity,National Percentile,Percentile
NumberSequenceONE,Total Items,Integer
NumberSequenceONE,Items Correct,Integer
NumberSequenceONE,IC per minute,Decimal
NumberSequenceONE,School Percentile,Percentile
NumberSequenceONE,LEA Percentile,Percentile
NumberSequenceONE,National Percentile,Percentile
NumberSequenceKG,Total Items,Integer
NumberSequenceKG,Items Correct,Integer
NumberSequenceKG,IC per minute,Decimal
NumberSequenceKG,School Percentile,Percentile
NumberSequenceKG,LEA Percentile,Percentile
NumberSequenceKG,National Percentile,Percentile
NumeralIdentificationONE,Total Number Read,Integer
NumeralIdentificationONE,Number Read Correct,Integer
NumeralIdentificationONE,NRC per minute,Decimal
NumeralIdentificationONE,School Percentile,Percentile
NumeralIdentificationONE,LEA Percentile,Percentile
NumeralIdentificationONE,National Percentile,Percentile
NumeralIdentificationKG,Total Number Read,Integer
NumeralIdentificationKG,Number Read Correct,Integer
NumeralIdentificationKG,NRC per minute,Decimal
NumeralIdentificationKG,School Percentile,Percentile
NumeralIdentificationKG,LEA Percentile,Percentile
NumeralIdentificationKG,National Percentile,Percentile
PlaceValue,Total Items,Integer
PlaceValue,Items Correct,Integer
PlaceValue,IC per minute,Decimal
PlaceValue,School Percentile,Percentile
PlaceValue,LEA Percentile,Percentile
PlaceValue,National Percentile,Percentile
QuantityDiscriminationLeast,Total Items,Integer
QuantityDiscriminationLeast,Items Correct,Integer
QuantityDiscriminationLeast,IC per minute,Decimal
QuantityDiscriminationLeast,School Percentile,Percentile
QuantityDiscriminationLeast,LEA Percentile,Percentile
QuantityDiscriminationLeast,National Percentile,Percentile
QuantityDiscriminationMost,Total Items,Integer
QuantityDiscriminationMost,Items Correct,Integer
QuantityDiscriminationMost,IC per minute,Decimal
QuantityDiscriminationMost,School Percentile,Percentile
QuantityDiscriminationMost,LEA Percentile,Percentile
QuantityDiscriminationMost,National Percentile,Percentile
Subitizing,Total Items,Integer
Subitizing,Items Correct,Integer
Subitizing,IC per minute,Decimal
Subitizing,School Percentile,Percentile
Subitizing,LEA Percentile,Percentile
Subitizing,National Percentile,Percentile
VerbalAddition,Total Items,Integer
VerbalAddition,Items Correct,Integer
VerbalAddition,IC per minute,Decimal
VerbalAddition,School Percentile,Percentile
VerbalAddition,LEA Percentile,Percentile
VerbalAddition,National Percentile,Percentile
VerbalSubtraction,Total Items,Integer
VerbalSubtraction,Items Correct,Integer
VerbalSubtraction,IC per minute,Decimal
VerbalSubtraction,School Percentile,Percentile
VerbalSubtraction,LEA Percentile,Percentile
VerbalSubtraction,National Percentile,Percentile
StoryProblems,Total Items,Integer
StoryProblems,Items Correct,Integer
StoryProblems,IC per minute,Decimal
StoryProblems,School Percentile,Percentile
StoryProblems,LEA Percentile,Percentile
StoryProblems,National Percentile,Percentile
