identificationCode,assessmentIdentifier,description,namespace,academicSubjectDescriptor
Composing,FastBridge_earlyMath,Composing,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
CountingObjects,FastBridge_earlyMath,Counting Objects Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
DecomposingONE,FastBridge_earlyMath,Decomposing - Grade 1 Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
DecomposingKG,FastBridge_earlyMath,Decomposing - Kindergarten Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
EqualPartitioning,FastBridge_earlyMath,Equal Partitioning Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MatchQuantity,FastBridge_earlyMath,Match Quantity Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
NumberSequenceONE,FastBridge_earlyMath,Number Sequence - Grade 1 Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
NumberSequenceKG,FastBridge_earlyMath,Number Sequence - Kindergarten Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
NumeralIdentificationONE,FastBridge_earlyMath,Numeral Identification - Grade 1 Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
NumeralIdentificationKG,FastBridge_earlyMath,Numeral Identification - Kindergarten Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PlaceValue,FastBridge_earlyMath,Place Value Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
QuantityDiscriminationLeast,FastBridge_earlyMath,Quantity Discrimination - Least Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
QuantityDiscriminationMost,FastBridge_earlyMath,Quantity Discrimination - Most Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
Subitizing,FastBridge_earlyMath,Subitizing Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
VerbalAddition,FastBridge_earlyMath,Verbal Addition Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
VerbalSubtraction,FastBridge_earlyMath,Verbal Subtraction Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
StoryProblems,FastBridge_earlyMath,Story Problems Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
