assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_CBMMath_CAP_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_20_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_1x1_Addition_to_10_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_20_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_2x2_Addition_to_100_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_2x2_Addition_to_100_without_regrouping_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,Progress Monitoring,Progress Monitoring Assessment,uri://fastbridge.org/assessment/AssessmentCategoryDescriptor,Progress Monitoring
