codeValue,description,namespace,shortDescription
CompEff Sentences RPM,CompEff Sentences RPM,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,CompEff Sentences RPM
CompEff WRPM,CompEff WRPM,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,CompEff WRPM
Detailed Comp IC per minute,Detailed Comp IC per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Detailed Comp IC per minute
Detailed Comp Items Correct,Detailed Comp Items Correct,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Detailed Comp Items Correct
Detailed Comp Total Items,Detailed Comp Total Items,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Detailed Comp Total Items
IC per minute,Items correct per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,IC per minute
Items Attempted,Items Attempted,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Items Attempted
Items Correct,Number of items answered correctly,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Items Correct
Items Correct Per 10 minutes,Items correct per ten minutes,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,IC per 10 minutes
Recall Comp Scale,Recall Comp Scale,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Recall Comp Scale
Synthesis Comp IC per minute,Synthesis Comp IC per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Synthesis Comp IC per minute
Synthesis Comp Items Correct,Synthesis Comp Items Correct,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Synthesis Comp Items Correct
Synthesis Comp Total Items,Synthesis Comp Total Items,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Synthesis Comp Total Items
Text IC Per Minute,Text IC Per Minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text IC Per Minute
Text accuracy,Text accuracy,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text accuracy
Text and text text Accuracy,Text-to-Text accuracy percentage,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Text accuracy percentage
Text and text text IC Per Minute,Text-to-Text items correct per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Text items correct per minute
Text and text text correct,Text-to-Text items correct,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Text items correct
Text and text text total,Text-to-Text total items,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Text total items
Text correct,Text correct,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text correct
Text know IC Per Minute,Text-to-Knowledge items correct per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Knowledge items correct per minute
Text know accuracy,Text-to-Knowledge accuracy percentage,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Knowledge accuracy percentage
Text know correct,Text-to-Knowledge items correct,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Knowledge items correct
Text know total,Text-to-Knowledge total items,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Knowledge total items
Text text IC Per Minute,Text-to-Text items correct per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Text items correct per minute
Text text accuracy,Text-to-Text accuracy percentage,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Text accuracy percentage
Text text correct,Text-to-Text items correct,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Text items correct
Text text total,Text-to-Text total items,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text-to-Text total items
Text total,Text total,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Text total
Total Accuracy,Total accuracy percentage,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Total accuracy
Total Items,Total number of items attempted,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Total Items
Total Words,Total Words,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Total Words
Total Words Read,Total Words Read,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Total Words Read
WRC per minute,WRC per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,WRC per minute
Words Read Correct,Words Read Correct,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Words Read Correct
