assessmentIdentifier,Assessment,identificationCode,scoreType,resultDataType
FastBridge_CBM_R_PM,CBM-R,CBM_R,Detailed Comp IC per minute,Decimal
FastBridge_CBM_R_PM,CBM-R,CBM_R,Detailed Comp Items Correct,Integer
FastBridge_CBM_R_PM,CBM-R,CBM_R,Detailed Comp Total Items,Integer
FastBridge_CBM_R_PM,CBM-R,CBM_R,IC per minute,Decimal
FastBridge_CBM_R_PM,CBM-R,CBM_R,Items Correct,Integer
FastBridge_CBM_R_PM,CBM-R,CBM_R,Recall Comp Scale,Integer
FastBridge_CBM_R_PM,CBM-R,CBM_R,Synthesis Comp IC per minute,Decimal
FastBridge_CBM_R_PM,CBM-R,CBM_R,Synthesis Comp Items Correct,Integer
FastBridge_CBM_R_PM,CBM-R,CBM_R,Synthesis Comp Total Items,Integer
FastBridge_CBM_R_PM,CBM-R,CBM_R,Total Accuracy,Percentile
FastBridge_CBM_R_PM,CBM-R,CBM_R,Total Items,Integer
FastBridge_CBM_R_PM,CBM-R,CBM_R,Total Words Read,Integer
FastBridge_CBM_R_PM,CBM-R,CBM_R,WRC per minute,Integer
FastBridge_CBM_R_PM,CBM-R,CBM_R,Words Read Correct,Integer
FastBridge_CBMMath_CAP_PM,CBMMath CAP,CBMMath_CAP,Items Attempted,Integer
FastBridge_CBMMath_CAP_PM,CBMMath CAP,CBMMath_CAP,Items Correct,Integer
FastBridge_CBMMath_CAP_PM,CBMMath CAP,CBMMath_CAP,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_CAP_PM,CBMMath CAP,CBMMath_CAP,Total Items,Integer
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,CBMMath Fluency - Grade 1 GOM,CBMMath_Fluency_Grade_1_GOM,IC per minute,Decimal
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,CBMMath Fluency - Grade 1 GOM,CBMMath_Fluency_Grade_1_GOM,Items Attempted,Integer
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,CBMMath Fluency - Grade 1 GOM,CBMMath_Fluency_Grade_1_GOM,Items Correct,Integer
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,CBMMath Fluency - Grade 1 GOM,CBMMath_Fluency_Grade_1_GOM,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,CBMMath Fluency - Grade 1 GOM,CBMMath_Fluency_Grade_1_GOM,Total Items,Integer
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,CBMMath Fluency - Grade 2 GOM,CBMMath_Fluency_Grade_2_GOM,IC per minute,Decimal
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,CBMMath Fluency - Grade 2 GOM,CBMMath_Fluency_Grade_2_GOM,Items Attempted,Integer
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,CBMMath Fluency - Grade 2 GOM,CBMMath_Fluency_Grade_2_GOM,Items Correct,Integer
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,CBMMath Fluency - Grade 2 GOM,CBMMath_Fluency_Grade_2_GOM,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,CBMMath Fluency - Grade 2 GOM,CBMMath_Fluency_Grade_2_GOM,Total Items,Integer
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,CBMMath Fluency - Grade 3 GOM,CBMMath_Fluency_Grade_3_GOM,IC per minute,Decimal
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,CBMMath Fluency - Grade 3 GOM,CBMMath_Fluency_Grade_3_GOM,Items Attempted,Integer
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,CBMMath Fluency - Grade 3 GOM,CBMMath_Fluency_Grade_3_GOM,Items Correct,Integer
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,CBMMath Fluency - Grade 3 GOM,CBMMath_Fluency_Grade_3_GOM,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,CBMMath Fluency - Grade 3 GOM,CBMMath_Fluency_Grade_3_GOM,Total Items,Integer
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,CompEff Sentences RPM,Decimal
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,CompEff WRPM,Decimal
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,IC per minute,Decimal
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Items Correct,Integer
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Text IC Per Minute,Decimal
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Text accuracy,Percentile
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Text and text text Accuracy,Percentile
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Text and text text IC Per Minute,Decimal
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Text and text text correct,Integer
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Text and text text total,Integer
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Text correct,Integer
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Text know IC Per Minute,Decimal
